name,smiles,max_phase,atc,disease
NICOTINE,CN1CCC[C@H]1c1cccnc1,4.0,N07BA01,Other CNS
AMPHETAMINE,CC(N)Cc1ccccc1,4.0,N06BA01,Cognition/ADHD
MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1,4.0,N06AX03,Depression
IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,4.0,N06AA02,Depression
DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,4.0,N05BA01,Anxiety
CARBACHOL,C[N+](C)(C)CCOC(N)=O.[Cl-],4.0,N07AB01;S01EB02,Other CNS
PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,4.0,N03AB02;N03AB52,Epilepsy
CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,4.0,N06AA04,Depression
FENCAMFAMIN,CCNC1C2CCC(C2)C1c1ccccc1,2.0,N06BA06,Cognition/ADHD
ASPIRIN,CC(=O)Oc1ccccc1C(=O)O,4.0,A01AD05;B01AC06;N02BA01;N02BA51;N02BA71,CNS (other)
TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.0,N05AB06,Psychosis
SULPIRIDE,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,4.0,N05AL01,Psychosis
THIOPENTAL,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,4.0,N01AF03;N05CA19,CNS (other)
CYCLOBARBITAL,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,4.0,N05CA10,CNS (other)
ERGOTAMINE,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,4.0,N02CA02;N02CA52;N02CA72,CNS (other)
METHOHEXITAL,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.0,N01AF01;N05CA15,CNS (other)
PHENOBARBITAL,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,4.0,N03AA02,Epilepsy
FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.0,N06AB03,Depression
BARBITAL,CCC1(CC)C(=O)NC(=O)NC1=O,4.0,N05CA04,CNS (other)
CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,4.0,N05AH02,Psychosis
NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21,4.0,N06AA10,Depression
SECOBARBITAL,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,4.0,N05CA06,CNS (other)
PENTOBARBITAL,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,4.0,N05CA01,CNS (other)
AMOBARBITAL,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,4.0,N05CA02,CNS (other)
HEXOBARBITAL,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,4.0,N01AF02;N05CA16,CNS (other)
APROBARBITAL,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,4.0,N05CA05,CNS (other)
METHARBITAL,CCC1(CC)C(=O)NC(=O)N(C)C1=O,4.0,N03AA30,Epilepsy
ALLOBARBITAL,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,2.0,N05CA21,CNS (other)
CHLORDIAZEPOXIDE,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,4.0,N05BA02,Anxiety
CLONAZEPAM,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,4.0,N03AE01,Epilepsy
MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,4.0,N05CH01,CNS (other)
BUSPIRONE,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,4.0,N05BE01,Anxiety
MOLINDONE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,4.0,N05AE02,Psychosis
APOMORPHINE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,4.0,G04BE07;N04BC07,Parkinson's
HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.0,N05AD01,Psychosis
LEVOSULPIRIDE,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,2.0,N05AL07,Psychosis
THIORIDAZINE,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,4.0,N05AC02,Psychosis
MORPHINE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,4.0,A07DA52;N02AA01;N02AA51,CNS (other)
CODEINE,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,4.0,N02AA59;N02AA79;R05DA04,CNS (other)
CHLORPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.0,N05AA01,Psychosis
DESIPRAMINE,CNCCCN1c2ccccc2CCc2ccccc21,4.0,N06AA01,Depression
PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,4.0,N06AB05,Depression
LIDOCAINE,CCN(CC)CC(=O)Nc1c(C)cccc1C,4.0,C01BB01;C05AD01;D04AB01;N01BB02;N01BB52;R02AD02;S01HA07;S02DA01,CNS (other)
ETIDOCAINE,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,4.0,N01BB07;N01BB57,CNS (other)
BROMOCRIPTINE,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,4.0,G02CB01;N04BC01,Parkinson's
RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,4.0,N05AX08,Psychosis
AGOMELATINE,COc1ccc2cccc(CCNC(C)=O)c2c1,4.0,N06AX22,Depression
TACRINE,Nc1c2c(nc3ccccc13)CCCC2,4.0,N06DA01,Alzheimer's / dementia
DONEPEZIL,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,4.0,N06DA02,Alzheimer's / dementia
SERTINDOLE,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,4.0,N05AE03,Psychosis
GAMMA-AMINOBUTYRIC ACID,NCCCC(=O)O,1.0,N03AG03,Epilepsy
NIMETAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,2.0,N05CD15,CNS (other)
FLUNITRAZEPAM,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,4.0,N05CD03,CNS (other)
NITRAZEPAM,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,4.0,N05CD02,CNS (other)
NORDAZEPAM,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,2.0,N05BA16,Anxiety
FLUDIAZEPAM,CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,2.0,N05BA17,Anxiety
PROPOFOL,CC(C)c1cccc(C(C)C)c1O,4.0,N01AX10,CNS (other)
PERGOLIDE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,4.0,N04BC02,Parkinson's
PHENOL,Oc1ccccc1,4.0,N01BX03;C05BB05;D08AE03;R02AA19,CNS (other)
ILOPERIDONE,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,4.0,N05AX14,Psychosis
NEOSTIGMINE,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,4.0,N07AA01;N07AA51;S01EB06,Other CNS
REBOXETINE,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,4.0,N06AX18,Depression
CITALOPRAM,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,4.0,N06AB04,Depression
PILOCARPINE,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,4.0,N07AX01;S01EB01;S01EB51,Other CNS
TRIFLUPERIDOL,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,4.0,N05AD02,Psychosis
CARBAMAZEPINE,NC(=O)N1c2ccccc2C=Cc2ccccc21,4.0,N03AF01,Epilepsy
VALPROIC ACID,CCCC(CCC)C(=O)O,4.0,N03AG01,Epilepsy
NOMIFENSINE,CN1Cc2c(N)cccc2C(c2ccccc2)C1,4.0,N06AX04,Depression
PROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccccc21,4.0,N05AA03,Psychosis
ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1,4.0,N02BE01;N02BE51;N02BE71,CNS (other)
CAFFEINE,Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.0,D11AX26;N06BC01,Cognition/ADHD
PHENACETIN,CCOc1ccc(NC(C)=O)cc1,4.0,N02BE03;N02BE53;N02BE73,CNS (other)
PERPHENAZINE,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.0,N05AB03,Psychosis
OXAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,4.0,N05BA04,Anxiety
PROCAINE,CCN(CC)CCOC(=O)c1ccc(N)cc1,4.0,C05AD05;N01BA02;N01BA52;S01HA05,CNS (other)
TRIFLUPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,4.0,N05AA05,Psychosis
BENZOCAINE,CCOC(=O)c1ccc(N)cc1,3.0,C05AD03;D04AB04;N01BA05;R02AD01,CNS (other)
LORAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,4.0,N05BA06;N05BA56,Anxiety
BROMAZEPAM,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,4.0,N05BA08,Anxiety
TRICHLOROETHYLENE,ClC=C(Cl)Cl,2.0,N01AB05,CNS (other)
ETHER,CCOCC,2.0,N01AA01,CNS (other)
ROPINIROLE,CCCN(CCC)CCc1cccc2c1CC(=O)N2,4.0,N04BC04,Parkinson's
ETHCHLORVYNOL,C#CC(O)(/C=C/Cl)CC,4.0,N05CM08,CNS (other)
FENTANYL,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.0,N01AH01;N01AH51;N02AB03,CNS (other)
LOFEXIDINE,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,4.0,N07BC04,Other CNS
TOLOXATONE,Cc1cccc(N2CC(CO)OC2=O)c1,4.0,N06AG03,Depression
NALTREXONE,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,4.0,N07BB04,Other CNS
MEPERIDINE,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,4.0,N02AB02;N02AB52;N02AB72,CNS (other)
METHAQUALONE,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,4.0,N05CM01;N05CX02,CNS (other)
DEXTROAMPHETAMINE,C[C@H](N)Cc1ccccc1,4.0,N06BA02,Cognition/ADHD
SULTOPRIDE,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC,2.0,N05AL02,Psychosis
TRAZODONE,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,4.0,N06AX05,Depression
NEFAZODONE,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,4.0,N06AX06,Depression
ANTIPYRINE,Cc1cc(=O)n(-c2ccccc2)n1C,3.0,N02BB01;N02BB51;N02BB71;S02DA03,CNS (other)
LORMETAZEPAM,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,4.0,N05CD06,CNS (other)
AMITRIPTYLINE,CN(C)CCC=C1c2ccccc2CCc2ccccc21,4.0,N06AA09,Depression
SUMATRIPTAN,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,4.0,N02CC01,CNS (other)
ALFENTANIL,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,4.0,N01AH02,CNS (other)
RIVASTIGMINE,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,4.0,N06DA03,Alzheimer's / dementia
VENLAFAXINE,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,4.0,N06AX16,Depression
ATOMOXETINE,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,4.0,N06BA09,Cognition/ADHD
TRIMIPRAMINE,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,4.0,N06AA06,Depression
TRIAZOLAM,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,4.0,N05CD05,CNS (other)
METHADONE,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.0,N02AC52;N07BC02,Other CNS
CLONIDINE,Clc1cccc(Cl)c1NC1=NCCN1,4.0,C02AC01;N02CX02;S01EA04,CNS (other)
MIRTAZAPINE,CN1CCN2c3ncccc3Cc3ccccc3C2C1,4.0,N06AX11,Depression
MIDAZOLAM,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,4.0,N05CD08,CNS (other)
REMOXIPRIDE,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,4.0,N05AL04,Psychosis
OXYCODONE,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,4.0,N02AA05,CNS (other)
SUFENTANIL,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,4.0,N01AH03,CNS (other)
GALANTAMINE,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,4.0,N06DA04,Alzheimer's / dementia
AMANTADINE,NC12CC3CC(CC(C3)C1)C2,4.0,N04BB01,Parkinson's
ALPRAZOLAM,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,4.0,N05BA12,Anxiety
MAPROTILINE,CNCCCC12CCC(c3ccccc31)c1ccccc12,4.0,N06AA21,Depression
PROTRIPTYLINE,CNCCCC1c2ccccc2C=Cc2ccccc21,4.0,N06AA11,Depression
ETOMIDATE,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,4.0,N01AX07,CNS (other)
DALFAMPRIDINE,Nc1ccncc1,4.0,N07XX07,Other CNS
TRIMETHADIONE,CN1C(=O)OC(C)(C)C1=O,4.0,N03AC02,Epilepsy
ETHOSUXIMIDE,CCC1(C)CC(=O)NC1=O,4.0,N03AD01;N03AD51,Epilepsy
METHSUXIMIDE,CN1C(=O)CC(C)(c2ccccc2)C1=O,4.0,N03AD03,Epilepsy
TETRACAINE,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,4.0,C05AD02;D04AB06;N01BA03;S01HA03,CNS (other)
BETAHISTINE,CNCCc1ccccn1,4.0,N07CA01,Other CNS
MINAPRINE,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,4.0,N06AX07,Depression
ZIPRASIDONE,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,4.0,N05AE04,Psychosis
OLANZAPINE,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,4.0,N05AH03,Psychosis
QUETIAPINE,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,4.0,N05AH04,Psychosis
ZOTEPINE,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,2.0,N05AX11,Psychosis
MEDAZEPAM,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,4.0,N05BA03,Anxiety
BROMPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,4.0,N05AD06,Psychosis
SALICYLAMIDE,NC(=O)c1ccccc1O,2.0,N02BA05;N02BA55;N02BA75,CNS (other)
PROPYPHENAZONE,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,4.0,N02BB04;N02BB54;N02BB74,CNS (other)
FLUPHENAZINE,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.0,N05AB02,Psychosis
PROGABIDE,NC(=O)CCC/N=C(\c1ccc(Cl)cc1)c1cc(F)ccc1O,2.0,N03AG05,Epilepsy
PROCHLORPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.0,N05AB04,Psychosis
LAMOTRIGINE,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,4.0,N03AX09,Epilepsy
FLUNARIZINE,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,2.0,N07CA03,Other CNS
KETAMINE,CNC1(c2ccccc2Cl)CCCCC1=O,4.0,N01AX03,CNS (other)
RILUZOLE,Nc1nc2ccc(OC(F)(F)F)cc2s1,4.0,N07XX02,Other CNS
ZONISAMIDE,NS(=O)(=O)Cc1noc2ccccc12,4.0,N03AX15,Epilepsy
DEXMEDETOMIDINE,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,4.0,N05CM18,CNS (other)
BUTORPHANOL,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,4.0,N02AF01,CNS (other)
BROTIZOLAM,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,4.0,N05CD09,CNS (other)
METHYLPHENIDATE,COC(=O)C(c1ccccc1)C1CCCCN1,4.0,N06BA04,Cognition/ADHD
ESTAZOLAM,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,4.0,N05CD04,CNS (other)
PHENSUXIMIDE,CN1C(=O)CC(c2ccccc2)C1=O,4.0,N03AD02,Epilepsy
GEPIRONE,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,4.0,N06AX19,Depression
MEMANTINE,CC12CC3CC(C)(C1)CC(N)(C3)C2,4.0,N06DX01,Alzheimer's / dementia
