name,smiles,max_phase,atc,disease
FELBAMATE,NC(=O)OCC(COC(N)=O)c1ccccc1,4.0,N03AX10,Epilepsy
ETHOTOIN,CCN1C(=O)NC(c2ccccc2)C1=O,4.0,N03AB01,Epilepsy
ADRAFINIL,O=C(C[S+]([O-])C(c1ccccc1)c1ccccc1)NO,2.0,N06BX17,Cognition/ADHD
IPROCLOZIDE,CC(C)NNC(=O)COc1ccc(Cl)cc1,2.0,N06AF06,Depression
VALPROMIDE,CCCC(CCC)C(N)=O,2.0,N03AG02,Epilepsy
IPRONIAZID,CC(C)NNC(=O)c1ccncc1,4.0,N06AF05,Depression
BUPIVACAINE,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,4.0,N01BB01;N01BB51,CNS (other)
PARAMETHADIONE,CCC1(C)OC(=O)N(C)C1=O,4.0,N03AC01,Epilepsy
BIPERIDEN,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,4.0,N04AA02,Parkinson's
SULTHIAME,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,4.0,N03AX03,Epilepsy
GLUTETHIMIDE,CCC1(c2ccccc2)CCC(=O)NC1=O,4.0,N05CE01,CNS (other)
ADINAZOLAM,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,2.0,N05BA07,Anxiety
DROPERIDOL,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,4.0,N05AD08,Psychosis
ARIPIPRAZOLE,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,4.0,N05AX12,Psychosis
AMOXAPINE,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,4.0,N06AA17,Depression
PYRIDOSTIGMINE,CN(C)C(=O)Oc1ccc[n+](C)c1,4.0,N07AA02,Other CNS
DESVENLAFAXINE,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,4.0,N06AX23,Depression
LINOPIRDINE,O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1,2.0,N06BX09,Cognition/ADHD
LEVOMILNACIPRAN,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,4.0,N06AX28,Depression
PENTAZOCINE,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,4.0,N02AD01,CNS (other)
AMINEPTINE,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,4.0,N06AA19,Depression
QUINUPRAMINE,c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2,2.0,N06AA23,Depression
MELITRACEN,CN(C)CCC=C1c2ccccc2C(C)(C)c2ccccc21,3.0,N06AA14,Depression
DULOXETINE,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,4.0,N06AX21,Depression
PEMOLINE,NC1=NC(=O)C(c2ccccc2)O1,4.0,N06BA05,Cognition/ADHD
TETRABENAZINE,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,4.0,N07XX06,Other CNS
ZOLMITRIPTAN,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,4.0,N02CC03,CNS (other)
PRILOCAINE,CCCNC(C)C(=O)Nc1ccccc1C,4.0,N01BB04;N01BB54,CNS (other)
THIOTHIXENE,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,4.0,N05AF04,Psychosis
IPRINDOLE,CN(C)CCCn1c2c(c3ccccc31)CCCCCC2,4.0,N06AA13,Depression
ETHOPROPAZINE,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,4.0,N04AA05,Parkinson's
BUDIPINE,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,2.0,N04BX03,Parkinson's
IPIDACRINE,Nc1c2c(nc3c1CCC3)CCCC2,2.0,N06DA05,Alzheimer's / dementia
