pmid,pmcid,doi,title,journal,year,open_access_fulltext,named_drugs,holding_potentials,potency_values_in_tables,score,retrieval
34185778,PMC8274935,10.1371/journal.pcbi.1009145,Rate-dependent effects of lidocaine on cardiac dynamics: Development and analysis of a low-dimensional drug-channel interaction model.,PLoS Comput Biol,2021,True,"flecainide, lidocaine, mexiletine, ranolazine","-100, -95, -85, -80, -75, -55, -20",0,11,read here
38256108,PMC10816912,10.3390/ijms25021034,State-Dependent Blockade of Dorsal Root Ganglion Voltage-Gated Na<sup>+</sup> Channels by Anethole.,Int J Mol Sci,2024,True,"lacosamide, lidocaine, ropivacaine, tetrodotoxin",,3,11,read here
27560382,PMC4999187,10.1371/journal.pone.0161872,A Novel SCN5A Mutation Associated with Drug Induced Brugada Type ECG.,PLoS One,2016,True,"flecainide, lidocaine, quinidine","-140, -120, -20, -10",2,11,read here
21833183,PMC3153018,10.3389/fphar.2010.00144,Propranolol blocks cardiac and neuronal voltage-gated sodium channels.,Front Pharmacol,2010,True,"lidocaine, mexiletine, tetrodotoxin, topiramate, valproate",,1,11,read here
40283194,PMC12028925,10.3390/life15040640,Preclinical Animal Models to Investigate the Role of Na&lt;sub&gt;v&lt;/sub&gt;1.7 Ion Channels in Pain.,Life (Basel),2025,True,"bupivacaine, lidocaine, pf-05089771, saxitoxin, tetrodotoxin",,1,11,read here
24613829,PMC4004800,10.1016/j.expneurol.2014.02.023,Preclinical evaluation of marketed sodium channel blockers in a rat model of myotonia discloses promising antimyotonic drugs.,Exp Neurol,2014,True,"carbamazepine, flecainide, mexiletine, propafenone, riluzole",,1,11,read here
31443554,PMC6784069,10.3390/toxins11090484,Evaluation of the Spider (<i>Phlogiellus</i> genus) Phlotoxin 1 and Synthetic Variants as Antinociceptive Drug Candidates.,Toxins (Basel),2019,True,tetrodotoxin,,9,11,read here
18411331,PMC2346569,10.1085/jgp.200709946,Ion channels as drug targets: the next GPCRs.,J Gen Physiol,2008,True,"amitriptyline, lamotrigine, lidocaine, mexiletine, veratridine",,1,11,read here
35153511,PMC8824691,10.2147/jpr.s343500,"QX-OH/Levobupivacaine: A Structurally Novel, Potent Local Anesthetic Produces Fast-Onset and Long-Lasting Regional Anesthesia in Rats.",J Pain Res,2022,True,"bupivacaine, cannabidiol, carbamazepine, lidocaine, ropivacaine",,1,11,read here
41124213,PMC12670511,10.1021/acs.jnatprod.5c00978,Discovery of Na&lt;sub&gt;v&lt;/sub&gt;1.7 Inhibitors through the Screening of Marine Natural Product Extracts.,J Nat Prod,2025,True,"lidocaine, saxitoxin, tetrodotoxin, veratridine",,2,10,read here
35037706,PMC9304232,10.1111/epi.17149,The novel persistent sodium current inhibitor PRAX-562 has potent anticonvulsant activity with improved protective index relative to standard of care sodium channel blockers.,Epilepsia,2022,True,"carbamazepine, lacosamide, lamotrigine, oxcarbazepine, phenytoin",,0,10,read here
41807386,PMC13103313,10.1038/s41467-026-70305-6,Optical control of the cardiac rhythm with photoswitchable Na&lt;sub&gt;V&lt;/sub&gt;1.5 channel blockers.,Nat Commun,2026,True,"bupivacaine, quinidine",,6,10,read here
37433113,PMC10396326,10.1093/europace/euad209,The opioid tramadol blocks the cardiac sodium channel Nav1.5 in HEK293 cells.,Europace,2023,True,"cannabidiol, carbamazepine, flecainide, lidocaine",,2,10,read here
39728762,PMC11728717,10.3390/toxins16120504,Peptide Toxins from Marine &lt;i&gt;Conus&lt;/i&gt; Snails with Activity on Potassium Channels and/or Currents.,Toxins (Basel),2024,True,,,18,10,read here
38636665,PMC11109313,10.1016/j.jbc.2024.107294,Exenatide reduces atrial fibrillation susceptibility by inhibiting hKv1.5 and hNav1.5 channels.,J Biol Chem,2024,True,"flecainide, lidocaine, ranolazine",,4,10,read here
29379434,PMC5770958,10.3389/fphar.2017.00907,Dual Action of Mexiletine and Its Pyrroline Derivatives as Skeletal Muscle Sodium Channel Blockers and Anti-oxidant Compounds: Toward Novel Therapeutic Potential.,Front Pharmacol,2017,True,"bupivacaine, lidocaine, mexiletine, ropivacaine",,2,10,read here
32085432,PMC7070937,10.3390/molecules25040902,Biophysical Characterization of Epigallocatechin-3-Gallate Effect on the Cardiac Sodium Channel Na<sub>v</sub>1.5.,Molecules,2020,True,"flecainide, mexiletine, ranolazine, tetrodotoxin",,2,10,read here
40796268,PMC7618122,10.1152/ajpheart.00363.2025,The sodium/glucose cotransporter 2 inhibitor empagliflozin is a pharmacological chaperone of cardiac Na&lt;sub&gt;v&lt;/sub&gt;1.5 channels.,Am J Physiol Heart Circ Physiol,2025,True,"lidocaine, mexiletine, phenytoin",,4,10,read here
31709321,PMC6834944,10.1016/j.jacbts.2019.06.002,A Molecularly Detailed Na<sub>V</sub>1.5 Model Reveals a New Class I Antiarrhythmic Target.,JACC Basic Transl Sci,2019,True,"flecainide, lidocaine, mexiletine",,4,10,read here
39204342,PMC11357650,10.3390/pharmaceutics16080996,In Silico Screening Identification of Fatty Acids and Fatty Acid Derivatives with Antiseizure Activity: In Vitro and In Vivo Validation.,Pharmaceutics,2024,True,"phenytoin, riluzole, veratridine, zonisamide",,2,10,read here
36295666,PMC9607247,10.3390/membranes12100907,Coupling the Cardiac Voltage-Gated Sodium Channel to Channelrhodopsin-2 Generates Novel Optical Switches for Action Potential Studies.,Membranes (Basel),2022,True,"mexiletine, ranolazine, tetrodotoxin","-50, -20, -10",1,10,read here
37965843,PMC10845145,10.1021/acs.chemrestox.3c00267,Synergistic Effect of Brevetoxin BTX-3 and Ciguatoxin CTX3C in Human Voltage-Gated Na<sub>v</sub>1.6 Sodium Channels.,Chem Res Toxicol,2023,True,"tetrodotoxin, veratridine",,6,10,read here
38331833,PMC10851555,10.1186/s40360-024-00739-5,"Safinamide, an inhibitor of monoamine oxidase, modulates the magnitude, gating, and hysteresis of sodium ion current.",BMC Pharmacol Toxicol,2024,True,"lacosamide, ranolazine, riluzole, safinamide, tetrodotoxin",,0,10,read here
34658875,PMC8513526,10.3389/fphar.2021.738260,An Advanced Automated Patch Clamp Protocol Design to Investigate Drug-Ion Channel Binding Dynamics.,Front Pharmacol,2021,True,"bupivacaine, lidocaine, phenytoin, ranolazine, riluzole",,0,10,read here
30181706,PMC6115351,10.4196/kjpp.2018.22.5.597,Inhibition of voltage-dependent K<sup>+</sup> current in rabbit coronary arterial smooth muscle cells by the class Ic antiarrhythmic drug propafenone.,Korean J Physiol Pharmacol,2018,True,"flecainide, lidocaine, propafenone, quinidine",,2,10,read here
