inchikey,canonical_smiles,source,source_id,role,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
RCZWCDGHFJALJT-XMMPIXPASA-N,CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c(CC=C(C)C)c3c(c(O)c2c1=O)C[C@H](C(C)C)O3,COCONUT,CNP0402758.1,coverage,True,490.6,6.554,100.13,3,6,6,3,0.367,0.339
QBVREXBAKZPCIL-XMMPIXPASA-N,CC(C)=CCc1c2c(c3oc(-c4ccc(O)cc4O)c(CC=C(C)C)c(=O)c3c1O)C[C@H](C(C)C)O2,COCONUT,CNP0415869.1,coverage,True,490.6,6.554,100.13,3,6,6,3,0.367,0.339
FVQOMEDMFUMIMO-IWEPXQKTSA-N,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,COCONUT,CNP0267140.6,coverage,True,466.4,-0.99,206.6,8,12,4,2,0.381,0.256
OKJJBDHBLKGNNL-OIIAGDJYSA-N,O=C1c2c(O)cc(O)cc2O[C@H](c2cc(O)c(O)c(O)c2)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,COCONUT,CNP0169133.1,coverage,True,482.39,-1.284,226.83,9,13,4,2,0.381,0.232
SOJXHIUZAHCLFY-AOPIPTQKSA-N,CC(C)/C=C/c1c(O)c(/C=C/C(C)C)c2c(c1O)C(=O)C[C@@H](c1ccc(O)c(O)c1)O2,COCONUT,CNP0358419.1,coverage,True,424.49,5.554,107.22,4,6,5,2,0.32,0.469
URZUAHXELZUWFE-UHFFFAOYSA-N,O=c1cc(-c2ccc(Br)cc2)oc2ccccc12,COCONUT,CNP0167923.0,coverage,True,301.14,4.223,30.21,0,2,1,3,0.0,0.673
MMKQEVQTCAAXTI-FZKQIMNGSA-N,COc1cc(OC)c2c(c1)O[C@H](c1ccc3c(c1)OCO3)[C@H](O)C2,COCONUT,CNP0151883.1,coverage,True,330.34,2.47,66.38,1,6,3,2,0.333,0.933
KUDGJZIZWNACSL-UHFFFAOYSA-N,COc1cc(O)c2c(=O)cc(-c3ccc(Oc4c(OC)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)cc3)oc2c1,COCONUT,CNP0415865.0,coverage,True,566.52,6.16,148.8,3,10,6,6,0.062,0.214
VIDHFKRYBXNWLN-QJIPZRAESA-N,COc1cc2c(c3c1C(=O)C[C@@H](c1ccc(O)cc1)O3)[C@@H]1C[C@H](CCc3ccc(O)cc3)O[C@H](c3ccc(O)cc3)[C@@H]1[C@H](c1ccc(O)cc1)O2,COCONUT,CNP0164506.3,coverage,True,686.76,8.221,134.91,4,9,7,5,0.262,0.134
IVPRDSPYDXWXMB-KOLSLVNGSA-N,COc1cc(O)c([C@@H](/C=C/C[C@@H](O)CCc2ccc(O)cc2)c2ccc(O)cc2)c2c1C(=O)C[C@H](c1ccc(O)cc1)O2,COCONUT,CNP0260984.2,coverage,True,582.65,6.296,136.68,5,8,10,4,0.229,0.138
VCCNKWWXYVWTLT-FHHBSZBQSA-N,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](C)[C@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,COCONUT,CNP0371290.6,coverage,True,608.55,-1.09,238.2,8,15,7,3,0.464,0.159
RMCRQBAILCLJGU-MIHWQAPZSA-N,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@H](C)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1,COCONUT,CNP0212214.3,coverage,True,594.57,-0.862,214.06,7,14,7,2,0.536,0.208
JHPJOKVLYIDVMB-IHXWFHKHSA-N,COc1cc(O)c([C@H]2C[C@H](CCc3ccc(O)cc3)O[C@@H](c3ccc(O)cc3)C2)c2c1C(=O)C[C@@H](c1ccc(O)cc1)O2,COCONUT,CNP0268839.5,coverage,True,582.65,6.861,125.68,4,8,7,4,0.286,0.186
DWKFMLSGCLXYER-UHFFFAOYSA-N,COc1cc(OC)c(-c2oc3c(OC)c(OC)c(OC)c(OC)c3c(=O)c2OC)cc1OC,COCONUT,CNP0245049.0,coverage,True,462.45,3.529,104.05,0,10,9,3,0.348,0.469
UMBDLCOFFATLCV-SFTDATJTSA-N,O=C1c2c(O)cc(O)c(Cc3ccc(O)cc3)c2O[C@@H](c2ccc(O)c(O)c2)[C@H]1O,COCONUT,CNP0310538.1,coverage,True,410.38,2.483,147.68,6,8,3,3,0.136,0.361
SWGDZGBUJNMPHC-QSOFNFLRSA-N,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cccc(O)c12,COCONUT,CNP0415898.1,coverage,True,432.38,0.05,170.05,6,10,4,3,0.286,0.331
GAGKUHAKUBMORD-IJDCCNJMSA-N,COc1cc(O)c2c(c1/C=C/C(C)=O)O[C@H](c1ccccc1)CC2=O,COCONUT,CNP0288880.1,coverage,True,338.36,3.71,72.83,1,5,4,2,0.2,0.86
