inchikey,canonical_smiles,source,source_id,role,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
HOBAELRKJCKHQD-QNEBEIHSSA-N,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,DrugBank,DB00154,evaluation,False,306.49,6.441,37.3,1,1,15,0,0.65,0.279
RHGKLRLOHDJJDR-BYPYZUCNSA-N,NC(=O)NCCC[C@H](N)C(=O)O,DrugBank,DB00155,evaluation,False,175.19,-1.153,118.44,4,3,5,0,0.667,0.394
AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@@H](O)[C@H](N)C(=O)O,DrugBank,DB00156,evaluation,False,119.12,-1.221,83.55,3,3,2,0,0.75,0.425
BOPGDPNILDQYTO-NNYOXOHSSA-N,NC(=O)C1=CN([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,DrugBank,DB00157,evaluation,False,665.45,-2.686,317.62,8,17,11,2,0.524,0.113
OVBPIULPVIDEAO-LBPRGKRZSA-N,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,DrugBank,DB00158,evaluation,False,441.4,-0.045,213.28,6,9,9,3,0.211,0.259
JAZBEHYOTPTENJ-JLNKQSITSA-N,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,DrugBank,DB00159,evaluation,False,302.46,5.993,37.3,1,1,13,0,0.45,0.335
QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(=O)O,DrugBank,DB00160,evaluation,False,89.09,-0.582,63.32,2,2,1,0,0.667,0.451
KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)[C@H](N)C(=O)O,DrugBank,DB00161,evaluation,False,117.15,0.054,63.32,2,2,2,0,0.8,0.537
FPIPGXGPPPQFEQ-OVSJKPMPSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,DrugBank,DB00162,evaluation,False,286.46,5.51,20.23,1,1,5,0,0.5,0.661
GVJHHUAWPYXKBD-IEOSBIPESA-N,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,DrugBank,DB00163,evaluation,False,430.72,8.84,29.46,1,2,12,1,0.793,0.359
LXNHXLLTXMVWPM-UHFFFAOYSA-N,Cc1ncc(CO)c(CO)c1O,DrugBank,DB00165,evaluation,False,169.18,0.08,73.58,3,4,2,1,0.375,0.586
AGBQKNBQESQNJD-SSDOTTSWSA-N,O=C(O)CCCC[C@@H]1CCSS1,DrugBank,DB00166,evaluation,False,206.33,2.785,37.3,1,3,5,0,0.875,0.554
AGPKZVBTJJNPAG-WHFBIAKZSA-N,CC[C@H](C)[C@H](N)C(=O)O,DrugBank,DB00167,evaluation,False,131.18,0.444,63.32,2,2,3,0,0.833,0.584
IAOZJIPTCAWIRG-QWRGUYRKSA-N,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,DrugBank,DB00168,evaluation,False,294.31,-0.311,118.72,3,5,7,1,0.357,0.593
QYSXJUFSXHHAJI-YRZJJWOYSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,DrugBank,DB00169,evaluation,False,384.65,7.619,20.23,1,1,6,0,0.778,0.499
MJVAVZPDRWSRRC-UHFFFAOYSA-N,CC1=CC(=O)c2ccccc2C1=O,DrugBank,DB00170,evaluation,False,172.18,2.012,34.14,0,2,0,1,0.091,0.599
ZKHQWZAMYRWXGA-KQYNXXCUSA-N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,DrugBank,DB00171,evaluation,False,507.18,-1.629,279.13,7,13,8,2,0.5,0.197
ONIBWKKTOPOVIA-BYPYZUCNSA-N,O=C(O)[C@@H]1CCCN1,DrugBank,DB00172,evaluation,False,115.13,-0.177,49.33,2,2,1,0,0.8,0.498
GFFGJBXGBJISGV-UHFFFAOYSA-N,Nc1ncnc2nc[nH]c12,DrugBank,DB00173,evaluation,False,135.13,-0.065,80.48,2,4,0,2,0.0,0.53
DCXYFEDJOCDNAF-REOHCLBHSA-N,NC(=O)C[C@H](N)C(=O)O,DrugBank,DB00174,evaluation,False,132.12,-1.726,106.41,3,3,3,0,0.5,0.424
TUZYXOIXSAXUGO-PZAWKZKUSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,DrugBank,DB00175,evaluation,False,424.53,2.44,124.29,4,6,10,0,0.739,0.397
CJOFXWAVKWHTFT-XSFVSMFZSA-N,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,DrugBank,DB00176,evaluation,False,318.34,3.202,56.84,1,4,9,1,0.533,0.432
ACWBQPMHZXGDFX-QFIPXVFZSA-N,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,DrugBank,DB00177,evaluation,False,435.53,4.162,112.07,2,5,10,3,0.375,0.494
HDACQVRGBOVJII-JBDAPHQKSA-N,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,DrugBank,DB00178,evaluation,False,416.52,2.383,95.94,2,5,9,1,0.609,0.6
HCZKYJDFEPMADG-TXEJJXNPSA-N,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,DrugBank,DB00179,evaluation,False,302.37,3.566,80.92,4,4,5,2,0.333,0.637
XSFJVAJPIHIPKU-XWCQMRHXSA-N,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,DrugBank,DB00180,evaluation,False,434.5,2.275,93.06,2,6,2,0,0.75,0.693
KPYSYYIEGFHWSV-UHFFFAOYSA-N,NCC(CC(=O)O)c1ccc(Cl)cc1,DrugBank,DB00181,evaluation,False,213.66,1.857,63.32,2,2,4,1,0.3,0.803
KWTSXDURSIMDCE-UHFFFAOYSA-N,CC(N)Cc1ccccc1,DrugBank,DB00182,evaluation,False,135.21,1.576,26.02,1,1,2,1,0.333,0.654
NEYNJQRKHLUJRU-DZUOILHNSA-N,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,DrugBank,DB00183,evaluation,False,767.91,1.52,250.91,8,9,20,3,0.432,0.082
SNICXCGAKADSCV-JTQLQIEISA-N,CN1CCC[C@H]1c1cccnc1,DrugBank,DB00184,evaluation,False,162.24,1.848,16.13,0,2,1,1,0.5,0.626
WUTYZMFRCNBCHQ-LHIURRSHSA-N,CC1O[C@@]2(CS1)CN1CCC2CC1,DrugBank,DB00185,evaluation,False,199.32,1.56,12.47,0,3,0,0,1.0,0.587
DIWRORZWFLOCLC-UHFFFAOYSA-N,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,DrugBank,DB00186,evaluation,False,321.16,3.101,61.69,2,3,1,2,0.067,0.848
AQNDDEOPVVGCPG-UHFFFAOYSA-N,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,DrugBank,DB00187,evaluation,False,295.38,1.53,67.79,2,5,9,1,0.562,0.676
GXJABQQUPOEUTA-RDJZCZTQSA-N,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,DrugBank,DB00188,evaluation,False,384.25,0.361,124.44,4,6,9,2,0.368,0.463
ZEHYJZXQEQOSON-AATRIKPKSA-N,C#CC(O)(/C=C/Cl)CC,DrugBank,DB00189,evaluation,False,144.6,1.513,20.23,1,1,2,0,0.429,0.583
TZFNLOMSOLWIDK-JTQLQIEISA-N,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,DrugBank,DB00190,evaluation,False,226.23,-0.053,115.81,5,5,4,1,0.3,0.279
