endpoint,split,n,folds,n_positive,n_decoy,n_measured_inactive_train,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,mcc_mean,f1_mean,balanced_acc_mean,recorded_scaffold_cv_auroc,rerun_minus_recorded
Cav3_2,random,1404,10,351,1037,16,0.9996467719163137,0.0007594792574402418,0.9991024141024141,0.0018178892641438139,0.9695658173963817,0.9762867167970267,0.9771825396825398,0.999,
Cav3_2,scaffold,1404,10,351,1037,16,0.9991025917704608,0.0021512475889407913,0.9979064877670151,0.004602323449223813,0.9416640714393013,0.9473610067953174,0.956317738633915,0.999,0.00010259177046079149
D2,random,14704,10,3676,10895,133,0.9964677478449702,0.001221992417270725,0.9908789750565129,0.0032397311248120028,0.9489660509074207,0.9616451556688996,0.9732990689586651,0.994,
D2,scaffold,14704,10,3676,10895,133,0.9930168480211208,0.005621389572518062,0.9804380225933468,0.015282977464757227,0.9038265991822856,0.9252114503993767,0.9416632874312032,0.994,-0.0009831519788792153
D3,random,16508,10,4127,12289,92,0.9983180189630667,0.001129616424834046,0.9964472671520547,0.0012861857584642088,0.9670877173252995,0.9750550689551435,0.9790392695553358,0.997,
D3,scaffold,16508,10,4127,12289,92,0.9968300242954415,0.001315952922227892,0.992804081521211,0.0021556099897421482,0.9317410576452518,0.9473566259056204,0.9542353090000537,0.997,-0.000169975704558456
DAT,random,5348,10,1337,3855,156,0.9938249660702171,0.004125419426261915,0.98965817530349,0.005362540181408978,0.9559586426283293,0.9667746723173399,0.975561775899159,0.992,
DAT,scaffold,5348,10,1337,3855,156,0.9903382114625117,0.006854009958456073,0.9804064149222856,0.016687194942810298,0.9036357799439685,0.9225650778447404,0.937591064110068,0.992,-0.001661788537488329
DHODH,random,3852,10,963,2817,72,0.9954997111539179,0.004067126712403232,0.9889932615962976,0.007054576425282195,0.9582660560912789,0.968412325054182,0.9757601532122855,0.992,
DHODH,scaffold,3852,10,963,2817,72,0.9926254397879164,0.009317902135418978,0.9800100535477341,0.022038292730599655,0.9197278591830079,0.9355010643575102,0.9477431126132485,0.992,0.0006254397879164042
GABA_A,random,804,10,201,592,11,0.9921377179287015,0.009849752549924718,0.9825888944069492,0.023485342780606707,0.9331596764525706,0.9482635903688535,0.9568130366900858,0.939,
GABA_A,scaffold,804,10,201,592,11,0.9617848658592847,0.048127483237977005,0.9081691312169035,0.09667032282217695,0.6758595862799578,0.6695947044447503,0.7740629037226133,0.939,0.022784865859284742
GBA1,random,480,10,120,229,131,0.9726851851851853,0.016827357498190185,0.9408227713190949,0.02875324108177898,0.81801409163914,0.8627491638795985,0.9069444444444444,0.938,
GBA1,scaffold,480,10,120,229,131,0.9585060342222548,0.02673172176352156,0.8672951002844475,0.10503086225898649,0.6630277255168135,0.7070559849507217,0.8251760700930845,0.938,0.020506034222254832
GluA2,random,183,10,97,0,86,0.8596604938271606,0.05051493759827392,0.899762020296334,0.030818303558844778,0.5559756031696108,0.7872514619883041,0.7768055555555555,0.721,
GluA2,scaffold,183,10,97,0,86,0.7698390429871912,0.21025335507088466,0.7521028152260645,0.2610459014208579,0.3346507780943241,0.6676672645677616,0.6944736842105264,0.721,0.04883904298719122
GluN2B,random,3616,10,904,2696,16,0.9970514592912574,0.0035942240510663617,0.9935047390963383,0.00628672329047762,0.9600144022906221,0.9693935200958972,0.9727093010304699,0.996,
GluN2B,scaffold,3616,10,904,2696,16,0.9959615887783716,0.003419013060530674,0.9889408230064738,0.01106906752878236,0.91127021852291,0.9254446974504555,0.9347582023373076,0.996,-3.841122162839827e-05
H3,random,12848,10,3212,9548,88,0.9979971465794817,0.0021972561816607666,0.996444046072303,0.0025305277938179258,0.9723300056714311,0.9789821519853616,0.9813716746843862,0.996,
H3,scaffold,12848,10,3212,9548,88,0.9962177904277807,0.003777806832732429,0.9925084013486115,0.0061298964426211395,0.9534908941263671,0.9640275938485974,0.9672444324580433,0.996,0.00021779042778069524
HDAC1,random,12220,10,3055,8880,285,0.9983472718620655,0.0005204527139613969,0.9949089399899437,0.0018950949548740621,0.9527496981632989,0.9645280088054251,0.9822668886277066,0.998,
HDAC1,scaffold,12220,10,3055,8880,285,0.9972565320174223,0.002321899162201234,0.9910347326618034,0.008328382002456055,0.9401952802527298,0.9548572522446586,0.9753720292199223,0.998,-0.000743467982577739
HDAC6,random,14860,10,3715,11022,123,0.9987959526322104,0.0011882944870603047,0.9970727983846837,0.00211177778198816,0.976863525501867,0.9826131464801058,0.9879309651769862,0.998,
HDAC6,scaffold,14860,10,3715,11022,123,0.9984327424302653,0.000860648749013679,0.9957062529489817,0.002277995881897405,0.9741302999082434,0.9805438864949554,0.9859869872904667,0.998,0.00043274243026525383
HT1A,random,14812,10,3703,11012,97,0.9975727452544192,0.0016122797529245234,0.9953972976018282,0.0021522629104914685,0.9669311534500821,0.9749314469311123,0.9789818146235107,0.996,
HT1A,scaffold,14812,10,3703,11012,97,0.9965562107870329,0.0012354698383685086,0.9926880613506354,0.002477011036798614,0.9451740679703026,0.9576513119314571,0.9627559295529018,0.996,0.0005562107870329402
HT2A,random,15804,10,3951,11813,40,0.9967896314275663,0.0016705531312791399,0.9929701058897045,0.002398322497967694,0.9531985500741544,0.9645933426557102,0.972327389419199,0.993,
HT2A,scaffold,15804,10,3951,11813,40,0.9928098793237888,0.0029941469401082166,0.9828846427142889,0.006596363860749213,0.9045754637344849,0.9255430407060624,0.937188556788762,0.993,-0.00019012067621115847
HT6,random,10964,10,2741,8195,28,0.9986049745227572,0.0007705487552244964,0.9969867200535715,0.0015075377300866539,0.9719424540326514,0.9787531337867647,0.9820611234248275,0.997,
HT6,scaffold,10964,10,2741,8195,28,0.9972016715833674,0.002995727549688437,0.9938775514647002,0.006139883510750578,0.9525685960400635,0.9634651394602358,0.9687915472839059,0.997,0.0002016715833673688
HT7,random,5912,10,1478,4377,57,0.9967110742093419,0.002263493119549109,0.9923892354640543,0.003856153177645881,0.9510533245141538,0.9628604436560065,0.9704702358644635,0.989,
HT7,scaffold,5912,10,1478,4377,57,0.9891412329417278,0.010594291333182642,0.975417892186919,0.020657033224661992,0.895246235303345,0.9171618794433612,0.9310384956607152,0.989,0.0001412329417278535
KEAP1,random,488,10,122,313,53,0.9850470662970663,0.017881076544079867,0.9607558075827306,0.04607791330606988,0.8615937777290099,0.8915767402303167,0.9293543543543544,0.979,
KEAP1,scaffold,488,10,122,313,53,0.9876734710199561,0.013363328733102446,0.9587507089530263,0.04610489801383401,0.7996836296697889,0.833182779309821,0.8961324776909425,0.979,0.00867347101995608
LRRK2,random,4692,10,1173,3510,9,0.9981181600884991,0.002048891404051974,0.9960733343580485,0.003649589023138788,0.9618602461043524,0.970591980335955,0.9722882206462715,0.997,
LRRK2,scaffold,4692,10,1173,3510,9,0.9969692197246319,0.001940381358466124,0.99300210024953,0.004214196887688259,0.922229507189234,0.9352284297903415,0.9419644451163902,0.997,-3.078027536806971e-05
MT1,random,2788,10,697,2076,15,0.9982511615005893,0.0017111242395761593,0.9950104524326212,0.004820709691293086,0.9809859649359611,0.9857129005791695,0.99186117467582,0.997,
MT1,scaffold,2788,10,697,2076,15,0.9979149509955072,0.0018677445515950775,0.9923414668852345,0.008443300691358915,0.9730348742184292,0.9794842166913348,0.9881152972201432,0.997,0.0009149509955072022
NET,random,6288,10,1572,4583,133,0.997464762158365,0.0015124345418130278,0.9936165334054415,0.003322430531533381,0.9524170000918991,0.9642025557398558,0.9745559183330441,0.994,
NET,scaffold,6288,10,1572,4583,133,0.9935903326635973,0.0037478430726425676,0.9813341550178537,0.013997417098709695,0.8967806376524388,0.9181137756836476,0.9362094241313184,0.994,-0.00040966733640268593
