endpoint,task,split,fold,n_train,n_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
solubility,regression,scaffold,4,8703,870,,,,,,0.8448480367354199,1.046821729144646,0.7495005642204239,0.9154925477890842
solubility,regression,scaffold,5,8704,869,,,,,,0.7792948285765038,1.2095265032538538,0.8471468114508671,0.8864478113215939
solubility,regression,scaffold,6,8704,869,,,,,,0.8053795145237894,1.0541867671739427,0.7513961275240667,0.895641531443445
solubility,regression,scaffold,7,8704,869,,,,,,0.7679475261673114,1.1472717049993961,0.8222384239366067,0.8801441447246894
solubility,regression,scaffold,8,8704,869,,,,,,0.7835889254143567,1.1541640358047915,0.7990324951189075,0.8932363071281271
solubility,regression,scaffold,9,8704,869,,,,,,0.7740805285782137,1.0710892982448625,0.7421152541335005,0.8887772985587628
solubility,regression,scaffold,10,8704,869,,,,,,0.7172510180440581,1.1328184874167841,0.759103919490993,0.8583847939787201
lipophilicity,regression,random,1,3780,420,,,,,,0.6437125903290304,0.705875300527328,0.5204559268185518,0.7944129428418544
lipophilicity,regression,random,2,3780,420,,,,,,0.6556265514264139,0.7311220607048596,0.5394254749174987,0.7936386850677116
lipophilicity,regression,random,3,3780,420,,,,,,0.6769616105798246,0.6976910766103247,0.5219118009120508,0.8185697934984437
lipophilicity,regression,random,4,3780,420,,,,,,0.6442974837302748,0.710158323525618,0.5318235274381703,0.8018493081112522
lipophilicity,regression,random,5,3780,420,,,,,,0.6086461785254248,0.7127924046835472,0.5306700697197423,0.7745902979407258
lipophilicity,regression,random,6,3780,420,,,,,,0.6305221077546482,0.7284797023647307,0.539556917953299,0.8054307553962459
lipophilicity,regression,random,7,3780,420,,,,,,0.6272987751418745,0.7227230340279428,0.5428132157745251,0.785383285302742
lipophilicity,regression,random,8,3780,420,,,,,,0.6002783686130879,0.7777379736182782,0.571286900276311,0.7780058343088467
lipophilicity,regression,random,9,3780,420,,,,,,0.6867226562638692,0.6818869743973272,0.5002678883087813,0.8165727898895041
lipophilicity,regression,random,10,3780,420,,,,,,0.6153875991727503,0.737490799834756,0.5584985748700153,0.7902062001312302
lipophilicity,regression,scaffold,1,3780,420,,,,,,0.5634665944578876,0.8691113495546305,0.6793066046662775,0.7626803229997277
lipophilicity,regression,scaffold,2,3780,420,,,,,,0.5652300844859267,0.8614244618840247,0.6719849840913056,0.722318241299348
lipophilicity,regression,scaffold,3,3780,420,,,,,,0.48412665639500063,0.749654311593434,0.5860784315801042,0.7007761355805565
lipophilicity,regression,scaffold,4,3780,420,,,,,,0.4860474095508699,0.7983558416621901,0.6053109974203486,0.7230891466366922
lipophilicity,regression,scaffold,5,3780,420,,,,,,0.5736992351941197,0.7805869588188898,0.5946548007378424,0.769272945477877
lipophilicity,regression,scaffold,6,3780,420,,,,,,0.5890897268038355,0.7773647859636296,0.5939790226079036,0.7531902483513252
lipophilicity,regression,scaffold,7,3780,420,,,,,,0.6030723828564927,0.7546042355563618,0.5823812389938103,0.7758919538646964
lipophilicity,regression,scaffold,8,3780,420,,,,,,0.6691512661339268,0.6882851791137967,0.5291849088825636,0.818629415705322
