endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
PDE10A,Binder classifier,hybrid_decoys_plus_measured_inactives,random,10,14703,1633,408,,0.9996798719487796,0.9991224376769762,0.9901980792316927,0.9926470588235294,0.9950990396158463,16336,4084,12131,121
PDE10A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,1,14702,1634,412,1005.0,0.9994815915338535,0.9983818189435767,0.9805269095704956,0.9854368932038835,0.9902634547852478,16336,4084,12131,121
PDE10A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,2,14702,1634,410,1005.0,0.9991331898613104,0.9982384919761417,0.9836981211765999,0.9876847290640394,0.9886158935118763,16336,4084,12131,121
PDE10A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,3,14702,1634,439,1006.0,0.9989249054050191,0.9971877600336767,0.9499102054347013,0.9627039627039627,0.9678767834847171,16336,4084,12131,121
PDE10A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,4,14702,1634,387,1006.0,0.9991276220552063,0.9974777425251141,0.972808809328036,0.97911227154047,0.9828922747928361,16336,4084,12131,121
PDE10A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,5,14702,1634,379,1006.0,0.9998864699513292,0.9996517109118157,0.9896794255650128,0.9920424403183024,0.9930052875568964,16336,4084,12131,121
PDE10A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,6,14702,1634,465,1006.0,0.9984179107223341,0.9970186265602261,0.9789330889541233,0.9847826086956522,0.986241342200392,16336,4084,12131,121
PDE10A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,7,14703,1633,389,1005.0,0.9972040602087966,0.9933099112753477,0.9627703693464614,0.9715762273901809,0.9796731250878252,16336,4084,12131,121
PDE10A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,8,14703,1633,397,1005.0,0.9984960015651366,0.9951133592068436,0.9514490095576996,0.9629629629629629,0.9711703064243966,16336,4084,12131,121
PDE10A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,9,14703,1633,388,1005.0,0.99972053161098,0.9990834642703726,0.9626410830155722,0.9710526315789474,0.9743106446404173,16336,4084,12131,121
PDE10A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,10,14703,1633,418,1005.0,0.9975397247327071,0.9933594794887833,0.9449624690949879,0.9584352078239609,0.9656073404611416,16336,4084,12131,121
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,random,1,4060,452,113,,0.9959537421359022,0.9915025721682321,0.9466251500755285,0.958904109589041,0.9631268436578171,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,random,2,4060,452,113,,0.9981987626282403,0.9957962079376234,0.9763978541963826,0.9819819819819819,0.9823008849557522,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,random,3,4061,451,113,,0.9970152379954966,0.989315230392238,0.9525547557559848,0.9642857142857143,0.9734382363722051,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,random,4,4061,451,113,,0.9974603340838876,0.9942868563593399,0.9405088593056032,0.9545454545454546,0.9616431900298477,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,random,5,4061,451,113,,0.9973556055925015,0.993061976523682,0.9285716804055453,0.9459459459459459,0.9586846101481908,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,random,6,4061,451,113,,0.9986123474891345,0.9964383137690579,0.9525372592473803,0.9636363636363636,0.967547258731738,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,random,7,4061,451,113,,0.997931612295125,0.9948105295161875,0.9644286780534904,0.972972972972973,0.9763968162538619,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,random,8,4061,451,113,,0.9940042938681468,0.990695423430076,0.9763810106028055,0.9819819819819819,0.9823008849557522,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,random,9,4061,451,112,,0.9949431099873578,0.991495989831996,0.958230210666105,0.9680365296803652,0.9717393594605983,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,random,10,4061,451,112,,0.9966814159292036,0.9931746427367523,0.9704094612830402,0.9777777777777777,0.9866466498103665,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,1,4060,452,122,337.0,0.9967461500248386,0.9919669620254795,0.9321229988197648,0.9495798319327731,0.9585692995529062,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,2,4060,452,112,338.0,0.9928308823529413,0.9850412119397014,0.9346253920821024,0.9483568075117371,0.9508928571428572,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,3,4061,451,120,337.0,0.9981873111782478,0.9956033530351499,0.9658252143107983,0.9745762711864406,0.9776560926485398,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,4,4061,451,115,337.0,0.9954192546583852,0.9882127806304101,0.9116226382911009,0.9315068493150684,0.9405020703933747,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,5,4061,451,112,337.0,0.9851980615254952,0.9644328057493494,0.8191512261615775,0.8469387755102041,0.8690607880320269,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,6,4061,451,110,337.0,0.996694214876033,0.9935517340382046,0.9516437170815764,0.9626168224299065,0.9667155425219942,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,7,4061,451,84,337.0,0.989522512002076,0.9837637447263661,0.9409890102760592,0.95,0.9523809523809523,4512,1128,3218,166
