endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
CGRP,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,3,2156,240,68,180.0,1.0,0.9999999999999998,1.0,1.0,1.0,2396,599,1784,13
CGRP,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,4,2156,240,58,181.0,1.0,1.0000000000000002,1.0,1.0,1.0,2396,599,1784,13
CGRP,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,5,2156,240,51,181.0,1.0,1.0,1.0,1.0,1.0,2396,599,1784,13
CGRP,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,6,2156,240,50,181.0,1.0,1.0,0.97540607136135,0.9803921568627451,0.9947368421052631,2396,599,1784,13
CGRP,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,7,2157,239,63,180.0,1.0,1.0,1.0,1.0,1.0,2396,599,1784,13
CGRP,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,8,2157,239,56,180.0,1.0,1.0000000000000002,1.0,1.0,1.0,2396,599,1784,13
CGRP,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,9,2157,239,47,180.0,1.0,1.0000000000000002,0.9869482459976194,0.9894736842105263,0.9973958333333333,2396,599,1784,13
CGRP,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,10,2157,239,61,180.0,0.9997237060232087,0.9991936206303659,0.9891125329074651,0.991869918699187,0.997191011235955,2396,599,1784,13
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,1,4255,473,119,,0.9882257987940939,0.9695852438504481,0.8660628200545186,0.9,0.935419930684138,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,2,4255,473,119,,0.9843564544461852,0.9619668207308573,0.8690024519872253,0.9004329004329005,0.9256753548877178,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,3,4255,473,118,,0.9781809501074241,0.9419958865212925,0.8174819687637973,0.8620689655172413,0.9040105037001671,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,4,4255,473,118,,0.9748388636906182,0.9434928514934176,0.8228084686436813,0.8658008658008658,0.9054189544043925,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,5,4255,473,118,,0.9819766053950824,0.9460041739125841,0.8331294720362866,0.8722466960352423,0.9054070183814753,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,6,4255,473,118,,0.987849128670327,0.9534142129732596,0.8877764257033699,0.9159663865546218,0.9463714490331822,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,7,4255,473,118,,0.994831702076868,0.9873326374675867,0.9090269393104935,0.9279279279279279,0.9350322272618763,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,8,4255,473,118,,0.9853425638577226,0.9611046711225231,0.8463838346402193,0.8841201716738197,0.9195392695153974,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,9,4256,472,118,,0.9786699224360815,0.9533478855325274,0.828078671210825,0.8695652173913043,0.9067796610169492,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,10,4256,472,118,,0.9817341760030642,0.9517579233455306,0.8859457466755333,0.9137931034482759,0.9378531073446328,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,1,4255,473,128,324.0,0.9896965579710145,0.9717537391412854,0.8973092401603999,0.9243027888446215,0.9429800724637681,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,2,4255,473,119,324.0,0.9584816977638513,0.8505576133118979,0.46067651909316193,0.4691358024691358,0.6526017186535631,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,3,4255,473,127,324.0,0.9419348231760047,0.876978420042593,0.6621569315663809,0.7368421052631579,0.8061421874288835,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,4,4255,473,116,325.0,0.979160629769149,0.9465047237283604,0.81531674706201,0.8596491228070176,0.9028059499661933,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,5,4255,473,104,325.0,0.966072545340838,0.904283624343437,0.7407476697683516,0.7802197802197802,0.8318610589952053,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,6,4255,473,106,325.0,0.9162253868695697,0.8032402606349377,0.625343192996017,0.6742857142857143,0.764677908590818,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,7,4255,473,125,326.0,0.9893563218390805,0.971282019711617,0.8844490696132886,0.9106382978723404,0.9236896551724139,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,8,4255,473,139,326.0,0.96377030112437,0.9257248194689138,0.743691784787661,0.8016194331983806,0.8426420540214534,4728,1182,3200,346
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,9,4256,472,108,325.0,0.9532458282458283,0.8225433954128609,0.7905432641985491,0.8349514563106796,0.8816646316646317,4728,1182,3200,346
