endpoint,task,split,fold,n_test,n_train,n_scaffolds_test,positives_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
BChE,classification,random,10,262,2359,220,184.0,0.9708751393534002,0.9881861723691765,0.7978325376088363,0.9405405405405406,0.8959030100334449,,,,
BChE,classification,scaffold,1,263,2358,134,174.0,0.921186878470877,0.958843912108912,0.7176896724767253,0.905982905982906,0.8557729562185199,,,,
BChE,classification,scaffold,2,262,2359,134,167.0,0.9633785061456035,0.9808379136138303,0.7511452702209233,0.9046153846153846,0.8822250236369367,,,,
BChE,classification,scaffold,3,262,2359,134,167.0,0.9385439647021746,0.9679697016244748,0.7407454234530355,0.89171974522293,0.8823195713835487,,,,
BChE,classification,scaffold,4,262,2359,134,180.0,0.9554539295392954,0.9798812718033818,0.7498439904462026,0.9178470254957507,0.8829268292682927,,,,
BChE,classification,scaffold,5,262,2359,134,192.0,0.929389880952381,0.9762110245173736,0.6349149110633929,0.8846153846153846,0.8406994047619047,,,,
BChE,classification,scaffold,6,262,2359,135,190.0,0.9365131578947369,0.9679813105888984,0.7046747942799462,0.9226804123711341,0.839108187134503,,,,
BChE,classification,scaffold,7,262,2359,135,198.0,0.9309501262626263,0.9768430487121713,0.6401154854029522,0.9113924050632911,0.8217329545454546,,,,
BChE,classification,scaffold,8,262,2359,135,187.0,0.8921212121212121,0.9593713286863239,0.5351076215732476,0.8571428571428571,0.7771122994652406,,,,
BChE,classification,scaffold,9,262,2359,135,182.0,0.9426167582417582,0.9763958449195056,0.6866128860380223,0.898876404494382,0.8520604395604395,,,,
BChE,classification,scaffold,10,262,2359,135,209.0,0.9615419337365713,0.9909391640893646,0.7479620200909279,0.9437652811735942,0.895684752189221,,,,
BACE1,classification,random,1,851,7650,596,774.0,0.9845464612906474,0.9983351089089685,0.8185199711862607,0.9838813668600903,0.9019849659384543,,,,
BACE1,classification,random,2,850,7651,593,774.0,0.9643002855977152,0.9958379269241228,0.7368575125610112,0.9767741935483871,0.8640180878552972,,,,
BACE1,classification,random,3,850,7651,586,774.0,0.968312253501972,0.9962619662384197,0.6886946416009428,0.9736673089274245,0.8251903984768122,,,,
BACE1,classification,random,4,850,7651,607,774.0,0.9533523731810145,0.9941530362631681,0.654548002799571,0.9711353431686979,0.8048075615395076,,,,
BACE1,classification,random,5,850,7651,580,774.0,0.9614783081735347,0.9956020065115468,0.7832517339861281,0.9806201550387597,0.8916258669930641,,,,
BACE1,classification,random,6,850,7651,596,774.0,0.954406364749082,0.9944612522638108,0.6978879436415379,0.974293059125964,0.8317693458452333,,,,
BACE1,classification,random,7,850,7651,599,774.0,0.961546307629539,0.9954749122278709,0.7039957667345306,0.9749518304431599,0.8324153406772745,,,,
BACE1,classification,random,8,850,7651,589,774.0,0.9770076839385284,0.9973948883517791,0.7773678277106499,0.9799612152553329,0.8909798721610227,,,,
BACE1,classification,random,9,850,7651,581,774.0,0.9673687610499115,0.9963492048402849,0.7486377675535104,0.9773755656108597,0.8765299877600978,,,,
BACE1,classification,random,10,850,7651,584,773.0,0.97437879067892,0.9965760910333384,0.7553401924661078,0.978750804893754,0.8617210732346567,,,,
BACE1,classification,scaffold,1,851,7650,308,786.0,0.9072421217459384,0.9906877225433689,0.5301712669373584,0.9678638941398866,0.7347034644744568,,,,
BACE1,classification,scaffold,2,850,7651,307,780.0,0.9839926739926741,0.9984271353523135,0.7974243123716569,0.9840459476707084,0.8799450549450549,,,,
BACE1,classification,scaffold,3,850,7651,308,779.0,0.9610280424524037,0.9960629110911426,0.5638510625473724,0.9683544303797469,0.7374929939069591,,,,
BACE1,classification,scaffold,4,850,7651,308,768.0,0.9663205030487805,0.9950051275669198,0.7345011036470297,0.9768934531450578,0.8186134400406504,,,,
BACE1,classification,scaffold,5,850,7651,308,756.0,0.9567924687605539,0.9941022440239892,0.6675480407197543,0.9659685863874345,0.8072441742654508,,,,
BACE1,classification,scaffold,6,850,7651,309,797.0,0.9738050709026774,0.9981820040024147,0.6877382304230556,0.981226533166458,0.8314670580715419,,,,
BACE1,classification,scaffold,7,850,7651,310,753.0,0.9431689051354719,0.991491326628134,0.6049135893402884,0.9578947368421052,0.7823688065606988,,,,
BACE1,classification,scaffold,8,850,7651,310,772.0,0.9577770027899561,0.9951911953183552,0.7435752083453852,0.9774339136041263,0.856317257871662,,,,
BACE1,classification,scaffold,9,850,7651,310,751.0,0.9449555474855076,0.9910951193338329,0.7102599261556498,0.9683377308707124,0.8321161010908015,,,,
BACE1,classification,scaffold,10,850,7651,310,797.0,0.9612580194597665,0.996963059277384,0.6778293016662612,0.9812734082397003,0.8138538386875311,,,,
GSK3B,classification,random,1,496,4462,369,462.0,0.9622485357779476,0.9970278858015919,0.6299958497930358,0.9787234042553191,0.7331296154825566,,,,
