endpoint,skeleton,n_stereoisomers,labels_disagree,potency_gap_log_units
A2A,Nc1nc2c3c(ccc2c2nc(CC(N)C4CC4)nn12)OC(F)(F)O3,2,False,0.97
A2A,O=C1NCCC12OC(n1cnc3c(NCc4cccc(I)c4)ncnc31)C(O)C2O,2,False,0.0
A2A,COc1cccc2c1nc(N)n1nc(C3CC(F)(F)CCO3)nc21,2,False,0.02
A2A,Nc1nc2c3c(ccc2c2nc(CCN4CCC(c5ccccc5)C4)nn12)OC(F)(F)O3,2,False,0.29
A2A,COCC1CCCN1c1cc(NC(C)=O)nc(-c2ccc(C)o2)n1,2,False,1.65
A2A,CCOC(=O)C1Oc2ccc(CCCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2O1,2,False,0.0
A2A,CC(O)CCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,2,False,0.48
A2A,CC(NC(=O)c1nc(-c2ccc3cccnc3c2)c(-c2ccccc2)nc1N)c1ccccn1,2,False,0.13
A2A,CC(=O)Nc1cc(-c2cccc(COC3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,2,False,0.03
A2A,COc1cc2nc(N)n3nc(C4CCCN(c5cnn(C6CCC6(C)O)c5)C4)nc3c2cc1F,2,False,0.69
A2A,COc1cccc2c1nc(N)n1nc(C3CC(c4ccc(C(N)C(F)F)cn4)C3)nc21,4,False,0.27
A2A,COc1ccc(N2CCN(CCn3c(=O)cnc4c(-c5ccc(C)o5)nc(N)nc43)CC2C)cc1,2,False,0.78
A2A,Cc1cnc2ccc(-c3c(-c4ncco4)nc(N)n4nc(CC5CCCO5)nc34)cn12,2,False,0.4
A2A,OC1CSC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C1O,2,False,1.54
A2A,COc1cc2nc(N)n3nc(C4CCC(C)N(c5cnn(C(C)C(C)O)c5)C4)nc3c2cc1F,4,False,2.19
A2A,Cc1cc2nc(NC(C)c3ccccn3)nc(C(=O)NCC(C)O)c2s1,2,False,0.0
A2A,CC(Nc1nc(C(=O)N2CCC(NC(=O)OC(C)(C)C)C2)c2sccc2n1)c1ccccn1,2,False,0.6
A2A,CCn1nnc(C2OC(n3cnc4c(N)nc(NC(C)Cc5ccc(Br)cc5)nc43)C(O)C2O)n1,2,False,0.16
A2A,COc1cccc2c1nc(N)n1nc(C3CC(c4ccc(C(C)(C)O)nc4)C3)nc21,2,False,0.9
A2A,CCNc1nc(C#CC(O)c2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,2,False,0.16
A2A,CNc1nc(C#CC(O)c2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,2,False,0.23
A2A,COc1cccc2c1nc(N)n1nc(C3CC(c4ccccc4)C3)nc21,2,False,0.52
A2A,Nc1nc2c3c(ccc2c2nc(C4CCCN(c5cncnc5)C4)nn12)OC(F)(F)O3,2,False,1.18
A2A,CC(Nc1nc(C(=O)N2CCC(F)C2)c2sc(N)cc2n1)c1cccnc1,2,False,0.0
A2A,Cn1cc(N2CCCC(c3nc4c5cccc(F)c5nc(N)n4n3)C2)cn1,2,False,0.56
A2A,COCC1CCCN1c1cc(NC(C)=O)nc(-c2cccs2)n1,2,False,0.24
