inventory_date,commit,model,family,predicts,task,algorithm,n_train,n_positive,n_scaffolds,validation,metric,random_split,scaffold_split,calibration,threshold_basis,deployed,fitted
2026-08-19,6dd47bd,OPRK1_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",11767,2590.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.934,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:41
2026-08-19,6dd47bd,OPRM1_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",14134,2980.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.96,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:43
2026-08-19,6dd47bd,OX1_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",12655,2719.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.955,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:51
2026-08-19,6dd47bd,OX2_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",14823,3267.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.954,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:52
2026-08-19,6dd47bd,P2X7_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",11191,2377.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.76,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:46
2026-08-19,6dd47bd,PDE10A_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",15570,3318.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.967,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:48
2026-08-19,6dd47bd,PDE4B_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",4308,924.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.973,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:54
2026-08-19,6dd47bd,RIPK1_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",5626,1156.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.983,"sigmoid, prefit",random_chemistry_specificity,True,2026-08-13 21:03
2026-08-19,6dd47bd,SERT_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",11164,2251.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.936,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:58
2026-08-19,6dd47bd,SIRT1_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",276,125.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.795,"sigmoid, prefit",random_chemistry_specificity,True,2026-08-13 21:03
