endpoint,task,split,fold,n_train,n_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
AChE,classification,scaffold,3,4612,513,0.9592489996922129,0.9542585961419369,0.7394736842105263,0.8552631578947368,0.8697368421052631,,,,
AChE,classification,scaffold,4,4612,513,0.9417114764172685,0.9559077914832405,0.7291404702758765,0.8765652951699463,0.8654708864648948,,,,
AChE,classification,scaffold,5,4612,513,0.9367666635707872,0.9503191989535924,0.7053606854039781,0.8560885608856088,0.8558326367604718,,,,
AChE,classification,scaffold,6,4613,512,0.9322900332434297,0.9526809723585434,0.6835868635458099,0.8620689655172413,0.8446967321081352,,,,
AChE,classification,scaffold,7,4613,512,0.9155916547220895,0.9592263817674115,0.6442240144110806,0.884393063583815,0.8272017837235228,,,,
AChE,classification,scaffold,8,4613,512,0.9087790545633547,0.9298531144023967,0.6098986492792953,0.8307692307692308,0.8002907379205316,,,,
AChE,classification,scaffold,9,4613,512,0.904648292883587,0.9426903414798751,0.6138849588529695,0.8614916286149162,0.8043685726038667,,,,
AChE,classification,scaffold,10,4613,512,0.9126222567345202,0.9594300293227769,0.6348068994596834,0.8851063829787233,0.8290809251761051,,,,
BChE,classification,random,1,2950,328,0.9727123205741627,0.9771759420931493,0.7976190922405967,0.907563025210084,0.8977272727272727,,,,
BChE,classification,random,2,2950,328,0.9705816387559809,0.978056452865989,0.8468250450151901,0.9287749287749287,0.9235944976076556,,,,
BChE,classification,random,3,2950,328,0.9745065789473684,0.9759940734939386,0.8306642262109964,0.9181286549707602,0.9164174641148326,,,,
BChE,classification,random,4,2950,328,0.9808238636363636,0.9861720201170329,0.8666492462747433,0.936046511627907,0.93436004784689,,,,
BChE,classification,random,5,2950,328,0.9759644138755981,0.9819840295533188,0.8157713614753886,0.9074626865671642,0.9087918660287082,,,,
BChE,classification,random,6,2950,328,0.9697966507177034,0.9692157170948429,0.8107626682991386,0.9106628242074928,0.9061004784688995,,,,
BChE,classification,random,7,2950,328,0.9540221291866029,0.9629962587284392,0.7713097626504979,0.8875739644970414,0.8866626794258373,,,,
BChE,classification,random,8,2950,328,0.9755906100478468,0.9819801827795875,0.8344210788509333,0.9235127478753541,0.9170155502392345,,,,
BChE,classification,random,9,2951,327,0.9670003010234798,0.9752571538394106,0.7910826672624517,0.9028571428571428,0.8958835039133053,,,,
