smiles,pka,year,basic_centre,says_acid,says_base
C=CC(=O)N1C[C@@H](n2nc(C#Cc3c(F)cc4c(ncn4C4CC4)c3F)c(C(N)=O)c2NC)C[C@@H]1COC,2.22,2024.0,True,False,False
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,9.0,2014.0,True,False,False
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,7.2,2014.0,True,False,False
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@@H](N(C)C)C1,8.1,2014.0,True,False,False
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)[nH]c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.8,2016.0,True,False,False
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N(C)CCN(C)C)cc4OC)nc32)c1,8.9,2016.0,True,False,False
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCC(N6CCN(C)CC6)CC5)cc4OC)nc32)c1,8.8,2016.0,True,False,False
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)c1,8.1,2016.0,True,False,False
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1,8.4,2016.0,True,False,False
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.7,2016.0,True,False,False
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(OCCN(C)C)cc4OC)nc32)c1,8.8,2016.0,True,False,False
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.3,2016.0,True,False,False
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(CC)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.4,2016.0,True,False,False
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(CCC)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.5,2016.0,True,False,False
C=CC(=O)OCCN(C)C,8.6,1976.0,True,False,False
C=CC(C)(C)C(OC(=O)c1ccco1)c1cc(OC)c2c(c1OC)/C(=N/O)C=C/C2=N\O,10.2,2023.0,False,False,False
C=CC(C)(C)OCC(O)CNC(C)(C)C,9.67,1984.0,True,False,False
C=CC(C)(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],7.94,1989.0,False,False,False
C=CC(CCC)OC[n+]1ccn(C)c1/C=N/O.[Cl-],7.99,1989.0,False,False,False
C=CC(N)CCC(=O)O,9.5,1987.0,True,False,False
C=CC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.5,1986.0,False,False,False
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,3.35,2013.0,True,False,False
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,2.1,2009.0,True,False,False
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.74,1983.0,True,False,False
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,7.73,1983.0,True,False,False
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,7.859999999999999,2008.0,True,False,False
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,7.54,1983.0,True,False,False
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,7.62,1983.0,True,False,False
C=CCCN(C1=NCCN1)c1c(Br)cccc1Br,11.2,1980.0,True,False,False
C=CCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],7.97,1989.0,False,False,False
C=CCN(C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)cc1.O=C(O)/C=C/C(=O)O,8.18,2003.0,True,False,False
C=CCN(C1=NCCN1)c1c(Br)cccc1Br,10.7,1980.0,True,False,False
C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,10.42,1980.0,True,False,False
C=CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,9.5,2008.0,True,False,False
C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,2008.0,True,False,False
C=CCN(Cc1nccs1)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,2008.0,True,False,False
