smiles,pka,year
C=CC(=O)N1CC[C@@H]2OCCN(c3ncnc4[nH]ccc34)[C@@H]2C1,6.3,2018.0
C=CC(=O)N1C[C@@H](n2nc(C#Cc3c(F)cc4c(ncn4C4CC4)c3F)c(C(N)=O)c2NC)C[C@@H]1COC,2.22,2024.0
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,9.0,2014.0
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,7.2,2014.0
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@@H](N(C)C)C1,8.1,2014.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)[nH]c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.8,2016.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N(C)CCN(C)C)cc4OC)nc32)c1,8.9,2016.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCC(N6CCN(C)CC6)CC5)cc4OC)nc32)c1,8.8,2016.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)c1,8.1,2016.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1,8.4,2016.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.7,2016.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(OCCN(C)C)cc4OC)nc32)c1,8.8,2016.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.3,2016.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(CC)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.4,2016.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(CCC)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.5,2016.0
C=CC(=O)OCCN(C)C,8.6,1976.0
C=CC(C)(C)OCC(O)CNC(C)(C)C,9.67,1984.0
C=CC(N)CCC(=O)O,9.5,1987.0
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,3.35,2013.0
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,2.1,2009.0
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.74,1983.0
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,7.73,1983.0
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,7.859999999999999,2008.0
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,7.54,1983.0
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,7.62,1983.0
C=CCCN(C1=NCCN1)c1c(Br)cccc1Br,11.2,1980.0
C=CCN(C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)cc1.O=C(O)/C=C/C(=O)O,8.18,2003.0
C=CCN(C1=NCCN1)c1c(Br)cccc1Br,10.7,1980.0
C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,10.42,1980.0
C=CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,9.5,2008.0
C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,2008.0
C=CCN(Cc1nccs1)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,2008.0
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,7.94,2013.0
C=CCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86,2010.0
C=CCOc1noc2c1CNCC2.Cl,7.5,1986.0
C=CCS[C@@H](C(=O)NC1c2ccccc2C[C@H]1O)[C@H](O)[C@@H](O)[C@@H](SCC=C)C(=O)N[C@H]1c2ccccc2C[C@H]1O,9.8,2001.0
C=CC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6.2,2013.0
C=CCc1cc(Cn2c(CC)nc3c(C)cc(C)nc32)cc([N+](=O)[O-])c1O,7.8,1994.0
C=CCc1cc(Oc2c(I)cc(CC(N)C(=O)O)cc2I)ccc1O,10.28,1988.0
C=CCn1c(C)c(C)c2cc(-n3ccccc3=O)nc(NCc3c(C)cccc3C)c21,4.0,2009.0
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)P(=O)(O)Cc1c(F)cccc1F,2.7,2012.0
C=C[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6.0,2013.0
C=C[C@@](C)(/C=C/c1ccc(OCCCCN)cc1)CCC=C(C)C,9.54,2021.0
C=C[C@@](C)(/C=C/c1ccc(OCCCCN2CCSCC2)cc1)CCC=C(C)C,8.41,2021.0
C=C[C@@](C)(/C=C/c1ccc(OCCCCNC(=N)N)cc1)CCC=C(C)C,11.38,2021.0
C=Cc1ccccn1,4.98,1976.0
C=Cc1noc(C2=CCCNC2)n1,8.23,1991.0
C=NC(=O)CCc1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3ccccc3nc12,7.15,1981.0
C=Nc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,6.08,1984.0
C=Nc1cc(Nc2c3ccccc3nc3ccccc23)ccc1NS(C)(=O)=O,6.2,1984.0
CC#CC(=O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,3.2,2007.0
CC#CC(O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,5.58,2007.0
CC#CCOc1noc2c1CNCC2.Cl,7.6,1986.0
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,5.25,2007.0
CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc(CN3CCC4(C=Cc5ccccc54)CC3)cc2)cc1,4.1,2018.0
CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc(CN3CCC4(C=Cc5ccccc54)CC3)s2)cc1,5.800000000000001,2016.0
CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc(CN3CCC4(CC3)CN(C)c3ccccc34)cc2)cc1,6.300000000000001,2016.0
CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc(CN3CCC4(CCc5ccccc54)CC3)cc2)cc1,6.6,2016.0
CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc(CN3CCC4(CCc5ccccc54)CC3)s2)cc1,5.65,2016.0
CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc3nc(-c4c(C)cccc4C)nn3c2)cc1,4.3,2018.0
CC#C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CCOC(N)=N1,8.3,2021.0
CC#C[C@@]1(c2cc(NC(=O)c3cnc(OCF)cn3)ccc2F)CCOC(N)=N1,8.4,2021.0
CC#C[C@]1(c2cc(NC(=O)c3cnc(OCF)cn3)ccc2F)N=C(N)OCC12CC(F)(F)C2,7.5,2021.0
CC#C[C@]1(c2cc(NC(=O)c3cnc(OCF)cn3)ccc2F)N=C(N)OC[C@@H]1F,6.5,2021.0
CC#Cc1cncc(-c2cc(C3(C4CC4)N=C(C)C(N)=N3)ccc2O)c1,5.9,2012.0
CC#Cc1cncc(-c2cc(Cl)c([C@]3(C)CC(=O)N(C)C(=N)N3)s2)c1,7.5,2012.0
CC#Cc1cncc(-c2cccc(C3(C4CC4)N=C(C)C(N)=N3)c2)c1,5.8,2012.0
