inchikey,canonical_smiles,name,BBB_label,BBB_pchembl,AChE_label,AChE_pchembl,BChE_label,BChE_pchembl,BACE1_label,BACE1_pchembl,GSK3B_label,GSK3B_pchembl,MAO_A_label,MAO_A_pchembl,MAO_B_label,MAO_B_pchembl,D2_label,D2_pchembl,A2A_label,A2A_pchembl,HT2A_label,HT2A_pchembl,SERT_label,SERT_pchembl,hERG_label,hERG_pchembl,antioxidant_pIC50,n_endpoints_measured,role,sources,clinical_max_phase,atc,disease,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
AAJCCATVSUSRCY-MDWZMJQESA-N,CN(C)CCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,,,,,,0.0,4.69,,,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,True,295.38,3.523,29.54,0,3,7,2,0.211,0.578
AAJIHHYEPHRIET-IYWVPRTKSA-N,C[C@H](CC[C@@H](O)C(C)(C)O)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C,,,,0.0,4.6,,,,,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,456.71,6.629,57.53,2,3,5,0,0.833,0.488
AAKJLRGGTJKAMG-UHFFFAOYSA-N,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1,training_label,B3DB,,,,False,393.44,3.405,74.73,1,7,10,3,0.273,0.418
AAKVAFHZQBZTNK-UHFFFAOYSA-N,O=C(Nc1ccc(OC2CCCC2)cc1)c1cc2c(ccc3ccccc32)o1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1,training_label,B3DB,,,,False,371.44,6.16,51.47,1,3,4,4,0.208,0.467
AALKGMAUAAHNQK-HDJSIYSDSA-N,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,,,,,,,,,,0.0,4.7,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,430.54,1.8,130.54,3,8,6,3,0.421,0.54
AALVPJMBKQFJJS-UHFFFAOYSA-N,Cc1occc1-c1nn2c(-c3cccnc3)nnc2s1,,,,,,0.0,4.23,,,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,283.32,2.816,69.11,0,6,2,4,0.077,0.566
AAMOMFNMMXXVGM-IZZDOVSWSA-N,CN1C(=N)NC(=O)/C1=C\c1c[nH]c2ccccc12,,,,,,,,,,,,0.0,4.92,0.0,4.37,,,,,,,,,,,,2,training_label,ChEMBL_37,,,,False,240.27,1.505,71.98,3,2,1,2,0.077,0.661
AANLQBIDWIHDGD-RTBURBONSA-N,COCCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)CO[C@H]3C(F)(F)F)c2)cn1,,,,,,,,1.0,7.645,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,471.41,2.427,120.95,2,8,7,2,0.4,0.47
AAOACSSPCZAJCZ-UHFFFAOYSA-N,CCOC(c1ccc(O)c(OC)c1)C(O)CO,,,,,,,,,,,,,,,,,,,,,,,,,,3.879,1,training_label,ChEMBL_DPPH,,,,False,242.27,0.832,79.15,3,5,6,1,0.5,0.688
AAONJNLMLWRZJE-UHFFFAOYSA-N,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Cl)cc5)C4)n3C)cccc2n1,,,,,,,,,,,,,,,,1.0,6.4,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,490.08,5.748,46.84,0,5,7,4,0.37,0.244
