input_file,kind,rows,columns,feeds_endpoint,used_in_deployed_panel,produced_output,note
results/tables/manuscript_T4_variance_decomposition.csv,validation output,26,"endpoint, task, split, k_folds, mean, sd_observed, sd_sampling, sd_heterogeneity, pct_variance_heterogeneity",,,manuscript table or figure,
results/tables/manuscript_Table1_core.csv,validation output,13,"endpoint, target, task, compounds, scaffolds, active_fraction, train_per_fold, test_per_fold, metric, random_10fold",,,manuscript table or figure,
results/tables/manuscript_Table2_binder_validation.csv,validation output,38,"Target, Training negatives, Held-out inactives, AUROC (held-out measured inactives), Threshold, FPR, Sensitivity, Reliable call",,,manuscript table or figure,
results/tables/manuscript_Table2_binders.csv,validation output,18,"endpoint, target, n_binders, n_training_negatives, auroc_heldout_measured_inactives, threshold, sensitivity, rationale",,,manuscript table or figure,
results/tables/manuscript_Table3_adme.csv,validation output,9,"endpoint, property, task, compounds, metric, random_10fold, scaffold_10fold, rationale",,,manuscript table or figure,
results/tables/manuscript_Table5_temporal.csv,validation output,12,"endpoint, task, cutoff_year, n_train, n_test, metric, score",,,manuscript table or figure,
results/tables/manuscript_Table6_scaffold_holdout.csv,validation output,39,"target, train_actives, holdout_actives, holdout_scaffolds, threshold, holdout_recall, recall_ci95_low, recall_ci95_high, threshold_collapsed, usable",,,manuscript table or figure,
results/tables/MASTER_validation_summary.csv,validation output,7,"test, statistic, k, n, estimate, ci95_low, ci95_high, design",,,manuscript table or figure,
results/tables/model_comparison.csv,validation output,78,"endpoint, task, model, split, metric, mean, sd",,,manuscript table or figure,
results/tables/noncns_specificity_predictions.csv,validation output,1000,"smiles, top_disease, top_score, fired, n_diseases_fired, bbb, herg, ad_max_tanimoto",,,manuscript table or figure,
results/tables/noncns_specificity_summary.csv,validation output,14,"metric, k, n, estimate, ci95_low, ci95_high, note",,,manuscript table or figure,
results/tables/pka_model.csv,validation output,3,"split, r2, rmse, mae, spearman",,,manuscript table or figure,
results/tables/pubchem_inactives_summary.csv,validation output,3,"target, inactives, note",,,manuscript table or figure,
results/tables/pubchem_merge_provenance.csv,validation output,1,"target, chembl_actives, chembl_inactives, pubchem_candidates, passed_similarity_filter, median_sim_of_kept, pubchem_added, total_inactives_after",,,manuscript table or figure,
results/tables/rf_conformal.csv,validation output,8,"endpoint, n_test, target_coverage, empirical_coverage, avg_set_size",,,manuscript table or figure,
results/tables/rf_cv_folds.csv,validation output,60,"endpoint, task, split, fold, n_train, n_test, roc_auc, pr_auc, mcc, f1",,,manuscript table or figure,
results/tables/rf_cv_summary.csv,validation output,26,"endpoint, task, split, n, roc_auc_mean, roc_auc_sd, pr_auc_mean, pr_auc_sd, mcc_mean, mcc_sd",,,manuscript table or figure,
results/tables/rf_cv_summary_chembl_only_baseline.csv,validation output,26,"endpoint, task, split, n, roc_auc_mean, roc_auc_sd, pr_auc_mean, pr_auc_sd, mcc_mean, mcc_sd",,,manuscript table or figure,
results/tables/rf_cv_summary_pre_inactives.csv,validation output,26,"endpoint, task, split, n, roc_auc_mean, roc_auc_sd, pr_auc_mean, pr_auc_sd, mcc_mean, mcc_sd",,,manuscript table or figure,
results/tables/rf_temporal.csv,validation output,12,"endpoint, task, cutoff_year, n_train, n_test, metric, score",,,manuscript table or figure,
results/tables/scaffold_holdout_results.csv,validation output,39,"target, train_actives, holdout_actives, holdout_scaffolds, threshold, holdout_recall, recall_ci95_low, recall_ci95_high, threshold_collapsed, usable",,,manuscript table or figure,
results/tables/screening_thresholds.csv,validation output,41,"target, triage_threshold, triage_sensitivity, screening_threshold, screening_sensitivity, screening_background_fpr",,,manuscript table or figure,
results/tables/temporal_by_domain.csv,validation output,36,"endpoint, task, stratum, n, mean_max_tanimoto, auroc, r2, spearman, rmse",,,manuscript table or figure,
results/tables/temporal_diagnosis.csv,validation output,12,"endpoint, task, cutoff, n_train, n_test, base_rate_train, base_rate_test, auroc, auroc_random_same_n, auroc_recency_weighted",,,manuscript table or figure,
