row_key,endpoint,panel,task,description,chembl_target_id,identifier_source_script,training_table,n_compounds,n_active_label1,n_inactive_label0,n_binder_pchembl_ge7,pchembl_min,pchembl_max,year_min,year_max,data_sources,label_rule,n_scaffolds,n_features,model_family,hyperparameters,cv_folds,roc_auc_random_mean,roc_auc_random_sd,roc_auc_scaffold_mean,roc_auc_scaffold_sd,spearman_scaffold_mean,model_file,calibrated_model_file,deployed,cv_detail_in,uniprot_accession,chembl_pref_name,dual_model_note
D3 [Binder classifier],D3,Binder classifier,classification,D3,CHEMBL234,fetch_new_targets.py,data/endpoints/D3.csv,5647.0,5462.0,185.0,4127.0,4.07,10.92,1993.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.997,,,models_rf/D3_binder.joblib,,True,07_binder_panel_training_design.csv,,,
DAT [Binder classifier],DAT,Binder classifier,classification,DAT,CHEMBL238,fetch_new_targets.py,data/endpoints/DAT.csv,2692.0,2380.0,312.0,1337.0,4.0,9.92,1993.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.992,,,models_rf/DAT_binder.joblib,,True,07_binder_panel_training_design.csv,,,
DHODH [Binder classifier],DHODH,Binder classifier,classification,DHODH,CHEMBL1966,fetch_batch5.py,data/endpoints/DHODH.csv,1566.0,1421.0,145.0,963.0,3.99,9.92,1995.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.992,,,models_rf/DHODH_binder.joblib,,True,07_binder_panel_training_design.csv,,,
GABA_A [Binder classifier],GABA_A,Binder classifier,classification,GABA-A,CHEMBL2093872,fetch_batch2.py,data/endpoints/GABA_A.csv,348.0,326.0,22.0,201.0,4.05,10.0,1980.0,2024.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.939,,,models_rf/GABA_A_binder.joblib,,True,07_binder_panel_training_design.csv,,,
GBA1 [Binder classifier],GBA1,Binder classifier,classification,GBA1,CHEMBL2179,fetch_batch2.py,data/endpoints/GBA1.csv,554.0,292.0,262.0,120.0,3.39,9.4,1992.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.938,,,models_rf/GBA1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
GluA2 [Binder classifier],GluA2,Binder classifier,classification,AMPA GluA2,CHEMBL4016,fetch_batch3.py,data/endpoints/GluA2.csv,183.0,97.0,86.0,22.0,4.0,8.88,1997.0,2023.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.721,,,models_rf/GluA2_binder.joblib,,True,07_binder_panel_training_design.csv,,,
GluN2B [Binder classifier],GluN2B,Binder classifier,classification,NMDA GluN2B,CHEMBL1904,fetch_batch2.py,data/endpoints/GluN2B.csv,1580.0,1548.0,32.0,904.0,4.05,9.22,2000.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.996,,,models_rf/GluN2B_binder.joblib,,True,07_binder_panel_training_design.csv,,,
H3 [Binder classifier],H3,Binder classifier,classification,H3,CHEMBL264,fetch_new_targets.py,data/endpoints/H3.csv,4198.0,4022.0,176.0,3212.0,4.01,10.6,2001.0,2024.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.996,,,models_rf/H3_binder.joblib,,True,07_binder_panel_training_design.csv,,,
HDAC1 [Binder classifier],HDAC1,Binder classifier,classification,HDAC1,CHEMBL325,fetch_batch2.py,data/endpoints/HDAC1.csv,6367.0,5796.0,571.0,3055.0,4.0,10.3,2001.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.998,,,models_rf/HDAC1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
HDAC6 [Binder classifier],HDAC6,Binder classifier,classification,HDAC6,CHEMBL1865,fetch_batch2.py,data/endpoints/HDAC6.csv,5612.0,5366.0,246.0,3715.0,4.0,11.0,2003.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.998,,,models_rf/HDAC6_binder.joblib,,True,07_binder_panel_training_design.csv,,,
