endpoint,task,split,fold,n_train,n_test,roc_auc,pr_auc,mcc,f1,balanced_acc
BACE1,classification,scaffold,3,7651,850,0.9610280424524037,0.9960629110911426,0.5638510625473724,0.9683544303797469,0.7374929939069591
BACE1,classification,scaffold,4,7651,850,0.9663205030487805,0.9950051275669198,0.7345011036470297,0.9768934531450578,0.8186134400406504
BACE1,classification,scaffold,5,7651,850,0.9567924687605539,0.9941022440239892,0.6675480407197543,0.9659685863874345,0.8072441742654508
BACE1,classification,scaffold,6,7651,850,0.9738050709026774,0.9981820040024147,0.6877382304230556,0.981226533166458,0.8314670580715419
BACE1,classification,scaffold,7,7651,850,0.9431689051354719,0.991491326628134,0.6049135893402884,0.9578947368421052,0.7823688065606988
BACE1,classification,scaffold,8,7651,850,0.9577770027899561,0.9951911953183554,0.7435752083453852,0.9774339136041263,0.856317257871662
BACE1,classification,scaffold,9,7651,850,0.9449555474855076,0.9910951193338329,0.7102599261556498,0.9683377308707124,0.8321161010908015
BACE1,classification,scaffold,10,7651,850,0.9612580194597665,0.996963059277384,0.6778293016662612,0.9812734082397003,0.8138538386875311
MAO_B,classification,random,1,3298,367,0.9602564102564102,0.9814193640235223,0.743786482312223,0.9178356713426854,0.8677294197031039
MAO_B,classification,random,2,3298,367,0.954086473298997,0.9779696959503895,0.7715721350964533,0.9249492900608519,0.8882488479262672
MAO_B,classification,random,3,3298,367,0.950426944971537,0.9764441727610571,0.66917198408434,0.8980392156862745,0.8230380862022229
MAO_B,classification,random,4,3298,367,0.9440905394415832,0.9735308468787105,0.7078124809887747,0.9098039215686274,0.8416915153158038
MAO_B,classification,random,5,3298,367,0.9481566820276497,0.974310209205431,0.7551993840710417,0.9221556886227545,0.8732888316616969
MAO_B,classification,random,6,3299,366,0.9611131902153573,0.9818015513414659,0.727010872466969,0.9151873767258383,0.8519885687068349
MAO_B,classification,random,7,3299,366,0.967645357738237,0.9837031905635689,0.824401327859575,0.9437751004016064,0.908481611267989
MAO_B,classification,random,8,3299,366,0.946892117170755,0.9734228004478486,0.7475071698665497,0.9203187250996016,0.8667709998979349
MAO_B,classification,random,9,3299,366,0.9600755281869833,0.9801687063068094,0.7288537002093608,0.9141716566866267,0.8585207362297145
MAO_B,classification,random,10,3299,366,0.9521314598713979,0.9761414977498395,0.7281222168361248,0.9145129224652088,0.8563433470554214
MAO_B,classification,scaffold,1,3298,367,0.9338400900900902,0.9663504537280898,0.7006706513964293,0.9072978303747534,0.8546241554054055
MAO_B,classification,scaffold,2,3298,367,0.8493766404199475,0.8798460331143685,0.6320886747438565,0.8731808731808732,0.8154527559055118
MAO_B,classification,scaffold,3,3298,367,0.9397406559877957,0.9718897975408436,0.6927539000768865,0.9124767225325885,0.8131370917412107
MAO_B,classification,scaffold,4,3298,367,0.8693181818181819,0.9075841844132027,0.6311635038739996,0.8713692946058091,0.8038101604278074
MAO_B,classification,scaffold,5,3298,367,0.9076951535331114,0.966187354578834,0.6197431734249238,0.8854368932038835,0.8223455419903811
MAO_B,classification,scaffold,6,3299,366,0.8514708147235485,0.8972523844809859,0.5534039404406101,0.8038740920096852,0.7800862467272447
MAO_B,classification,scaffold,7,3299,366,0.9057239057239057,0.9592695159419302,0.6560900729730877,0.9060150375939849,0.8300987402110998
MAO_B,classification,scaffold,8,3299,366,0.8816584032545132,0.916917720247288,0.5844102292282798,0.8559670781893004,0.7749809305873379
