inchikey,smiles,cid
FWEOQOXTVHGIFQ-UHFFFAOYSA-N,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,1369
ZVPDNRVYHLRXLX-UHFFFAOYSA-N,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,1400
DXCUKNQANPLTEJ-UHFFFAOYSA-N,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,1401
ROFVEXUMMXZLPA-UHFFFAOYSA-N,c1ccc(-c2ccccn2)nc1,1474
BSWWXRFVMJHFBN-UHFFFAOYSA-N,Oc1c(Br)cc(Br)cc1Br,1483
OVSKIKFHRZPJSS-UHFFFAOYSA-N,O=C(O)COc1ccc(Cl)cc1Cl,1486
UIAFKZKHHVMJGS-UHFFFAOYSA-N,O=C(O)c1ccc(O)cc1O,1491
KFMJDJOTJHGYCD-UHFFFAOYSA-N,COc1ccc(S(=O)(=O)Nc2cc([N+](=O)[O-])ccc2OC)cc1,1492
UFBJCMHMOXMLKC-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1493
CFRFHWQYWJMEJN-UHFFFAOYSA-N,Nc1ccc2c(c1)Cc1ccccc1-2,1539
PTOAARAWEBMLNO-UHFFFAOYSA-N,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,1546
SUGXUUGGLDCZKB-UHFFFAOYSA-N,O=c1oc(Cl)c(Cl)c2ccccc12,1609
KLSJWNVTNUYHDU-UHFFFAOYSA-N,Nc1ncn[nH]1,1639
SNKZJIOFVMKAOJ-UHFFFAOYSA-N,NCCCS(=O)(=O)O,1646
NPOAOTPXWNWTSH-UHFFFAOYSA-N,CC(O)(CC(=O)O)CC(=O)O,1662
SIQPXVQCUCHWDI-UHFFFAOYSA-N,CCCn1c(=O)[nH]c(=O)c2[nH]cnc21,1676
WBLZUCOIBUDNBV-UHFFFAOYSA-N,O=C(O)CC[N+](=O)[O-],1678
PUMYFTJOWAJIKF-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccc(Cl)cc2)c2cc(Cl)ccc21,1688
NUKYPUAOHBNCPY-UHFFFAOYSA-N,Nc1ccncc1,1727
YFZOUMNUDGGHIW-UHFFFAOYSA-M,O=C(O)c1cc[c]([Hg][Cl])cc1,1730
QRMZSPFSDQBLIX-UHFFFAOYSA-N,COc1cc(CC(=O)O)ccc1O,1738
ZMZGIVVRBMFZSG-UHFFFAOYSA-N,NNC(=O)c1ccc(O)cc1,1742
MYNRELUCFAQMFC-UHFFFAOYSA-N,Nc1ncnc2c1ncn2C1OC(C(=O)NC2CC2)C(O)C1O,1761
CXOFVDLJLONNDW-UHFFFAOYSA-N,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1775
MGLDCXPLYOWQRP-UHFFFAOYSA-N,CCCCCC#CCC#CCC#CCC#CCCCC(=O)O,1780
RQQJJXVETXFINY-UHFFFAOYSA-N,NC(N)=NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N,1794
QDERNBXNXJCIQK-UHFFFAOYSA-N,CCN(c1nc(N)c(C(=O)N=C(N)N)nc1Cl)C(C)C,1795
XACKNLSZYYIACO-UHFFFAOYSA-N,CCc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,1814
WTXBRZCVLDTWLP-UHFFFAOYSA-N,O=C(O)c1cc2cc(F)ccc2[nH]1,1820
DUUGKQCEGZLZNO-UHFFFAOYSA-N,O=C(O)Cc1c[nH]c2ccc(O)cc12,1826
ZSTKHSQDNIGFLM-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCN(C)C)c2c1,1832
JTEJPPKMYBDEMY-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCN)c2c1,1833
RZFVLEJOHSLEFR-UHFFFAOYSA-N,O=c1[nH]c2ccccc2c2ccccc12,1853
LUINDDOUWHRIPW-UHFFFAOYSA-N,COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl,1858
OMYMRCXOJJZYKE-UHFFFAOYSA-N,COc1cc2c(CCNC(C)=O)c[nH]c2cc1O,1864
QYMDEOQLJUUNOF-UHFFFAOYSA-N,COc1ccc2[nH]c3c(c2c1)CCNC3,1868
QCIARNIKNKKHFH-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CCCl)n(C)c1=O,1882
FURUXTVZLHCCNA-UHFFFAOYSA-N,O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21,1889
SWAJPHCXKPCPQZ-UHFFFAOYSA-N,O=C1CC(c2ccccc2)Oc2cc(O)ccc21,1890
NWPRCRWQMGIBOT-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,1892
PQCAUHUKTBHUSA-UHFFFAOYSA-N,O=[N+]([O-])c1cccc2cn[nH]c12,1893
SCVHFRLUNIOSGI-UHFFFAOYSA-N,Cn1c(=O)c2[nH]c(C3CCCC3)nc2n(C)c1=O,1917
MCJGNVYPOGVAJF-UHFFFAOYSA-N,Oc1cccc2cccnc12,1923
WDEABJKSGGRCQA-UHFFFAOYSA-N,CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,1967
FSQKKOOTNAMONP-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1981
RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)Nc1ccc(O)cc1,1983
ODFJOVXVLFUVNQ-UHFFFAOYSA-N,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,1985
BZKPWHYZMXOIDC-UHFFFAOYSA-N,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1986
VTNQPKFIQCLBDU-UHFFFAOYSA-N,CCOCN(C(=O)CCl)c1c(C)cccc1CC,1988
VGZSUPCWNCWDAN-UHFFFAOYSA-N,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1989
RRUDCFGSUDOHDG-UHFFFAOYSA-N,CC(=O)NO,1990
