inchikey,smiles,bound,relation,implied_label
WGEUMBMVSGZEPH-UHFFFAOYSA-N,O=C(c1nc(NCc2cccc(O)n2)nc2ccsc12)N1CCCC1,6.301029995663981,>,-1
XHPZDAJHNWRAQU-NSHDSACASA-N,O=C(c1nc(NCc2ccc(C(F)(F)F)nc2)nc2ccsc12)N1CC[C@H](O)C1,6.301029995663981,>,-1
QEODJNFDYWOGGY-UHFFFAOYSA-N,O=C(c1nc(NCc2cccc(F)c2)nc2ccsc12)N1CCN(CCCc2ccccc2)CC1,6.301029995663981,>,-1
GGBGUKHMMZRTNI-UHFFFAOYSA-N,O=C(NCCn1ccnc1)c1nc(NCc2cncc(F)c2)nc2ccsc12,6.301029995663981,>,-1
KBGWTIXWAVGFOB-UHFFFAOYSA-N,COc1cncc(CNc2nc(C(=O)N3CCC3)c3sccc3n2)c1,6.301029995663981,>,-1
NUXWWBOGOMSQIC-UHFFFAOYSA-N,COc1cncc(CNc2nc(C(=O)N3CC(C)C3)c3sccc3n2)c1,6.301029995663981,>,-1
USCCJNRJUNXFLG-UHFFFAOYSA-N,COCC(Nc1nc(C(=O)N2CCC2)c2sccc2n1)c1cccnc1,6.301029995663981,>,-1
SAMQSXSULZIUGH-UHFFFAOYSA-N,O=C(c1nc(NCc2ccc(F)cn2)nc2ccsc12)N1CCCC1,6.301029995663981,>,-1
LHMVATWZRBLCBF-LBPRGKRZSA-N,O=C(c1nc(NCc2ccc(F)cn2)nc2ccsc12)N1CC[C@H](O)C1,6.301029995663981,>,-1
WSUDKIVTHCUQAG-UHFFFAOYSA-N,COc1cc(F)cc(CNc2nc(C(=O)N3CC(C)(O)C3)c3sccc3n2)c1,6.301029995663981,>,-1
PKINFZDGVZKKCC-AWEZNQCLSA-N,C[C@H](Nc1nc(C(=O)N2CCN(C(=O)OC(C)(C)C)C2)c2sccc2n1)c1cccnc1,6.301029995663981,>,-1
LYDSBAJQHKRHPT-UHFFFAOYSA-N,N#Cc1cncc(CNc2nc(C(=O)N3CCCC3)c3sccc3n2)c1,6.301029995663981,>,-1
QKUCJKIZDYMXIE-UHFFFAOYSA-N,NC(=O)c1cncc(CNc2nc(C(=O)N3CCCC3)c3sccc3n2)c1,6.301029995663981,>,-1
CJOCHODZPBNNED-NSHDSACASA-N,O=C(c1nc(NCc2cnccn2)nc2ccsc12)N1CC[C@H](O)C1,6.301029995663981,>,-1
HRICJDFUINCXQA-UHFFFAOYSA-N,COCCNC(=O)c1nc(NCc2cnccn2)nc2ccsc12,6.301029995663981,>,-1
BXRGMEBLJYQDKW-AMGKYWFPSA-N,CNc1cc2nc(N[C@@H](C)c3cccnc3)nc(C(=O)N3CCC(O)C3)c2s1,6.301029995663981,>,-1
LDHHKYSLIUZVHE-UHFFFAOYSA-N,O=C(NC1CC(O)C1)c1nc(NCc2cncc(F)c2)nc2ccsc12,6.301029995663981,>,-1
BXRGMEBLJYQDKW-AAEUAGOBSA-N,CNc1cc2nc(N[C@@H](C)c3cccnc3)nc(C(=O)N3CC[C@H](O)C3)c2s1,6.301029995663981,>,-1
DOFKLOBOWLRPTI-GWCFXTLKSA-N,CNc1cc2nc(N[C@@H](C)c3cncc(F)c3)nc(C(=O)N3CC[C@H](O)C3)c2s1,6.301029995663981,>,-1
VAIZVCUIOPKMPF-WDEREUQCSA-N,C[C@H](Nc1nc(C(=O)N2CC[C@@H](O)C2)c2sc(N)cc2n1)c1ccccn1,6.301029995663981,>,-1
YFCZYAXGLYUWNL-ZDUSSCGKSA-N,CCc1cc2nc(N[C@@H](C)c3cccnc3)nc(C(=O)N3CCCC3)c2s1,6.301029995663981,>,-1
JFIBKHUBCPEXGX-JTQLQIEISA-N,CNc1cc2nc(N[C@@H](C)c3ccccn3)nc(C(=O)NCCO)c2s1,6.301029995663981,>,-1
DOFKLOBOWLRPTI-GXFFZTMASA-N,CNc1cc2nc(N[C@@H](C)c3cncc(F)c3)nc(C(=O)N3CC[C@@H](O)C3)c2s1,6.301029995663981,>,-1
NKZASSKBTBNKGG-VYRBHSGPSA-N,C[C@H](Nc1nc(C(=O)NCC2CCCN2C(=O)OC(C)(C)C)c2sccc2n1)c1ccccn1,6.301029995663981,>,-1
GZRISOQWYSFZDA-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCCC1CNC(=O)c1nc(NCc2cncc(F)c2)nc2ccsc12,6.301029995663981,>,-1
LMNAMPFYEVJRQW-VIFPVBQESA-N,C[C@H](Nc1nc(C(=O)N2CC(O)C2)c2sc(N)cc2n1)c1cccnc1,6.301029995663981,>,-1
UXAQVKBIDRLSEI-LBPRGKRZSA-N,O=C(c1nc(NCc2cncc(C(F)(F)F)c2)nc2ccsc12)N1CC[C@H](O)C1,6.301029995663981,>,-1
DELGZQJBARMTBK-VIFPVBQESA-N,C[C@H](O)CNC(=O)c1nc(NCc2cncc(C(F)(F)F)c2)nc2ccsc12,6.301029995663981,>,-1
JZPCUVAUMHXXGF-UHFFFAOYSA-N,O=C(c1nc(NC(CO)c2cccnc2)nc2ccsc12)N1CCCC1,6.301029995663981,>,-1
XWGDYEJVDOSNAQ-LBPRGKRZSA-N,C[C@H](Nc1nc(C(=O)N2CCCOC2)c2sccc2n1)c1ccccn1,6.301029995663981,>,-1
MFHQZTZSCINIMJ-LBPRGKRZSA-N,C[C@H](Nc1nc(C(=O)NCc2nccn2C)c2sccc2n1)c1ccccn1,6.301029995663981,>,-1
KYMSMHAOLDAGAJ-ALXWSUNGSA-N,C[C@H](Nc1nc(C(=O)NC2CC(O)C2)c2sccc2n1)c1cncc(Cl)c1,6.301029995663981,>,-1
HAAIWERVSNJXHE-SWLSCSKDSA-N,CC(=O)N[C@@H]1CCN(C(=O)c2nc(N[C@@H](C)c3cccnc3)nc3ccsc23)C1,6.301029995663981,>,-1
UZYWCRUJGXZFRT-RISCZKNCSA-N,COC[C@H](Nc1nc(C(=O)NC[C@@H](C)O)c2sccc2n1)c1cccnc1,6.301029995663981,>,-1
IRJZNGUGDRHUHE-NSHDSACASA-N,C[C@H](Nc1nc(C(=O)N2CCCC2)c2sc(C(F)(F)F)cc2n1)c1cccnc1,6.301029995663981,>,-1
