# WHAT THIS FILE CONTAINS: Every one of 161,812 distinct training structures as a row, with the 12 named physicochemical descriptors as columns and a count of how many of the 1024 fingerprint bits it sets. 2 structures could not be parsed by RDKit and are absent.
# WHAT IT IS USED FOR: Seeing the chemical space the models were fitted over, at a width that opens in a spreadsheet.
# GENERATED FROM: data/endpoints/ featurised by src/brainsafe/features/featurize.py
smiles,ecfp4_bits_set,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,ring_count,heavy_atoms,formal_charge,qed
Br.N=C(NCc1ccc(Br)cc1)SCCCc1c[nH]cn1,40,353.289,3.56257,64.56,3.0,3.0,6.0,2.0,0.2857143,2.0,20.0,0.0,0.4226742
Br.N=C(NCc1ccccc1)NCc1ccccc1,19,239.322,2.50077,47.91,3.0,1.0,4.0,2.0,0.13333334,2.0,18.0,0.0,0.56686765
Br.N=c1c2ccccc2c(-c2ccccc2)nn1Cc1cc(O)no1,39,318.336,2.92467,87.93,2.0,5.0,3.0,4.0,0.055555556,4.0,24.0,0.0,0.60772085
Br.N=c1c2ccccc2c(-c2ccccc2)nn1Cc1cc(O)ns1,38,334.404,3.39317,74.79,2.0,5.0,3.0,4.0,0.055555556,4.0,24.0,0.0,0.6028806
Br.N=c1c2ccccc2ccn1CCCCCCCCCCCCn1ccc2ccccc2c1=N,26,454.662,7.15614,57.56,2.0,2.0,13.0,4.0,0.4,4.0,34.0,0.0,0.20146203
Br.N=c1cc2ccc3ccccc3c2nn1CCCCCCCCCCCCn1nc2c(ccc3ccccc32)cc1=N,31,556.758,8.25254,83.34,2.0,4.0,13.0,6.0,0.33333334,6.0,42.0,0.0,0.11086118
Br.N=c1ccc(-c2ccc(Cl)cc2)nn1Cc1cc(O)no1,41,302.721,2.42487,87.93,2.0,5.0,3.0,3.0,0.071428575,3.0,21.0,0.0,0.7774775
Br.N=c1ccc(-c2ccc(Cl)cc2)nn1Cc1cc(O)ns1,40,318.789,2.89337,74.79,2.0,5.0,3.0,3.0,0.071428575,3.0,21.0,0.0,0.77940845
Br.N=c1ccc(-c2ccc3c(c2)OCO3)nn1CCCC(=O)O,44,301.302,1.62307,97.43,2.0,5.0,5.0,2.0,0.26666668,3.0,22.0,0.0,0.87430614
Br.N=c1ccc(-c2ccc3c(c2)OCO3)nn1Cc1cc(O)no1,45,312.285,1.50017,106.39,2.0,7.0,3.0,3.0,0.13333334,4.0,23.0,0.0,0.7588063
